ID_REF	GSM266726	GSM266728	GSM266729	GSM266723	GSM266724	GSM266725
2902_at	2.8	0.3	12.4	1	0.3	4.2
2903_g_at	43.6	48.1	48.2	28.2	29.3	29.1
2904_s_at	1297.2	1327.8	1737.4	201	234.8	205.3
2905_at	5.9	12.3	12.2	1.6	2.7	2.4
2906_at	18	14.5	41.8	19.8	18.5	17.5
2907_at	5.6	1.5	2.2	9.4	0.6	1.7
2908_at	11.9	16.1	19.4	12	11.8	1.1
2909_at	0.7	4.3	13.2	1	4.9	3
2910_at	121.5	125.6	131.6	66.3	81.5	81.7
2911_s_at	815.4	904.3	1033.6	753.5	774.6	730.9
2912_at	11.9	5.8	5	0.6	3.1	1.2
2913_at	13	11.9	2.9	5.4	11.9	5.8
2914_at	1.1	3.6	1.9	1.4	1.2	0.3
2915_g_at	40.5	49.4	33.1	11.9	27.4	32.6
2916_s_at	58.1	55.8	30.1	15.3	34.1	26
2917_s_at	8.4	12.7	20	6.8	1.4	18.9
2918_s_at	60	51.4	84.5	43.7	33.8	33.3
2919_s_at	42	48.7	71.3	32.2	38	27.5
2920_at	12	34.6	41	22.1	31.4	22
2921_at	25.7	49.2	54.3	42.5	69.6	47.6
2922_at	86.3	67.9	86.7	44.1	54.1	45.9
2923_at	89.1	57.3	92.7	36	63.4	40.7
2924_g_at	17.5	21.7	40.9	18.3	25.9	7.4
2925_s_at	10.8	18.5	15.9	0.9	8.2	20
2926_s_at	16.4	24.4	19.1	14.4	7.9	3.7
2927_s_at	41.3	35.6	70.2	29.5	29.6	24.6
2928_at	119.4	109.7	117.7	88.3	97.8	75.8
2929_at	62.6	62.7	75.3	45.4	61	49.6
2930_at	38.8	17.1	30.7	29.7	26.8	13.3
2931_at	0.5	6.5	5.9	4.1	3.5	2.6
2932_at	4.8	15.9	4	2	10	10.9
2933_at	30.4	38.2	42.2	18.1	20.5	28.1
2934_at	13.8	14.1	1.1	11	8.1	9.4
2935_at	40.2	28.4	41.9	28.5	44.8	33.9
2936_at	9.6	12.1	30.9	13.9	8.3	16.9
2937_at	3.2	1.8	4.2	3.1	0.8	1.2
2938_at	null	null	1.1	0.1	0.1	6.9
2939_at	1	0.9	2.5	0.6	2.7	1.3
2940_at	7.2	1.6	1.7	0.4	0.6	0.9
2941_at	6.2	0.5	1.2	1	3.3	0.7
2942_at	29	30.8	49.2	12	25.5	19.8
2943_at	26.8	37.4	43.7	39.9	24.1	14.9
2944_g_at	171.7	178.3	268	199.2	225.1	102.7
2945_s_at	113.2	132.8	201.4	334.1	366.8	70.5
2946_s_at	37.2	45.2	48.5	53.1	71.5	38
2947_s_at	197.9	252.7	329.1	309.2	354.5	243.8
2948_s_at	148.8	144.7	236.6	105.7	161.2	55.7
2949_at	12.6	5.8	7.2	8.9	8.5	10.5
2950_at	18.1	23.9	29.1	7.2	12.2	17.9
2951_at	6.9	7	10.7	5.6	6.4	0.6
2952_at	16.3	0.6	6.2	1.9	1.2	0.7
2953_at	0.2	0.9	4	0.5	7.2	0.6
2954_at	13.8	2.2	4.8	3.4	2.6	2.4
2955_at	1.3	3.4	13	2.9	1.1	0.6
2956_g_at	273	291.9	547.7	125.7	263	78.1
