ID_REF	GSM40714	GSM40715	GSM40716	GSM40717	GSM40718	GSM40719	GSM40720	GSM40721	GSM40722	GSM40723	GSM40724	GSM40725	GSM40726	GSM40727	GSM40731	GSM40732	GSM40728	GSM40729	GSM40730	GSM40733	GSM40734	GSM40735	GSM40736	GSM40737
4464_at	5.64903	5.4085	5.39269	5.42731	5.56108	4.79446	4.60254	5.79625	4.41234	4.29821	5.47857	4.88877	5.55982	5.70582	4.07251	4.0595	6.02628	6.39224	6.38713	4.97075	4.80617	5.73415	4.72559	5.04941
4465_at	6.21313	6.30125	5.77818	5.82841	5.87534	5.7141	5.92983	5.96383	6.12667	5.81203	5.7079	5.48031	5.38801	5.62346	6.09845	5.76912	5.97997	6.23438	6.14071	5.31133	5.83991	5.52928	5.24427	6.00137
4466_at	4.93071	4.87937	4.73189	4.63201	4.9271	4.70719	4.64798	4.9153	4.77939	4.76463	4.77191	4.89387	4.66848	4.97858	4.90464	5.02389	4.79231	4.68487	4.87134	4.25477	4.23714	4.00319	4.23444	4.48389
4467_at	5.73574	5.86964	5.74566	5.54989	5.80878	6.85839	5.47955	5.84063	5.42358	5.09756	5.4405	6.36353	5.58799	5.94135	5.31534	5.11405	6.26415	6.42297	6.28086	5.29098	5.08681	5.59542	5.43176	5.14241
4468_at	6.23585	6.19859	6.04638	6.02955	5.97708	5.53457	5.31055	6.62766	5.36439	5.49102	5.51352	5.46539	5.31046	5.57183	5.30017	5.35921	5.45047	5.47075	5.53443	5.94711	5.68177	6.51816	5.61314	5.7543
4469_at	4.36333	4.70505	4.35005	4.30947	4.59329	5.0508	4.78651	4.77711	4.68757	4.73409	5.34477	5.09107	5.63894	5.83501	4.87465	4.71688	5.5484	5.39226	5.49805	4.60373	4.71494	4.89037	4.50004	4.03617
4470_at	7.37326	6.99746	6.99384	7.02008	6.8878	5.73538	5.8219	7.70868	5.96453	5.56453	5.94816	6.03663	5.75709	6.03436	5.40003	5.55193	5.63745	5.60093	5.50342	6.71908	6.7319	7.6093	6.27408	6.51249
4471_at	8.27431	7.98733	7.85909	7.84857	7.98472	7.036	7.04737	8.66311	7.05294	6.97818	6.5909	7.5508	6.5673	6.65615	6.88091	6.75516	8.04587	8.05138	8.18781	6.75892	7.35108	7.94259	6.53036	7.1942
4472_s_at	6.75188	7.09326	7.23777	6.72665	7.20824	6.01749	6.42773	6.76633	6.73282	6.21198	6.82104	6.43225	5.64922	6.10215	6.40721	6.17091	6.38474	6.41989	6.58082	7.4233	7.32252	7.47015	6.50836	6.89053
4473_i_at	3.81542	4.72168	3.98548	4.86749	3.75424	6.9488	5.85604	3.23309	5.00888	5.37731	6.61436	4.92768	7.38548	7.3954	4.93969	5.37174	3.72132	3.16068	3.10181	4.31375	4.66038	3.54467	5.59482	3.83679
4474_at	8.02017	8.06593	7.95217	7.86269	8.03921	8.43412	7.95337	7.37011	8.21253	8.4417	7.90735	8.06344	7.85887	7.9789	8.24338	8.16917	6.70671	6.43969	6.28487	7.82568	7.6872	7.87533	7.65079	7.81645
4475_at	5.77733	5.7201	6.06934	5.68434	5.92253	5.1979	5.31248	5.69278	5.72159	5.43656	5.18448	5.25015	4.90382	4.28696	5.41348	5.52682	5.38909	5.56212	5.61357	5.3899	5.61872	5.79242	4.95076	5.39967
4476_at	7.15257	7.22357	6.99572	6.86561	7.04507	6.83234	7.04501	7.02276	7.21628	7.11077	6.25913	6.85656	5.49765	5.59451	7.24579	7.2243	5.56867	5.13033	5.19484	6.66927	6.80437	7.09339	6.92876	7.16909
4477_at	5.82285	5.05979	5.18509	5.66955	5.41059	5.89024	5.1629	6.08603	5.14834	4.94587	5.5764	5.20498	6.33038	6.22404	4.93913	4.93794	5.72324	5.49924	5.66008	5.44968	5.04172	5.80114	5.5474	5.18235
4478_at	8.9602	8.52579	9.07794	8.65238	8.89831	7.10901	7.2364	8.95574	7.59122	7.21334	6.93262	9.78966	6.26712	6.7926	7.24546	7.25968	8.72744	8.80912	8.72644	8.1544	8.21926	8.37708	7.3683	8.2443
4479_at	5.54282	6.02087	4.70412	5.32111	4.62041	6.79868	6.42365	4.36059	5.83451	6.30028	7.73878	6.70222	7.61429	7.64613	5.4592	5.66824	5.0656	4.45827	4.10968	5.99577	4.55854	4.34143	6.51117	4.83303
4480_at	8.18238	8.31111	8.23948	8.09732	8.3376	9.55311	7.86713	8.44576	7.69932	7.70116	7.83755	8.18958	8.23029	8.3124	7.76517	7.79593	8.60935	8.40872	8.46868	8.16934	8.22204	8.53736	8.12671	8.36609
4481_at	8.36608	8.35606	8.81662	8.31376	8.58616	7.25875	7.35444	8.29243	7.73408	7.45322	6.79658	7.08028	6.70805	6.55464	6.55012	6.66697	7.21383	7.15189	7.14589	8.3901	8.47843	8.71938	7.56139	8.05175
4482_at	7.16569	7.28302	7.54221	6.85149	7.66051	5.6321	5.68691	7.1363	5.98821	6.22445	5.18591	7.83747	4.7029	4.6292	6.27889	6.26314	5.59834	5.83821	5.86251	6.76024	6.50695	6.74551	6.10623	6.24941
4483_s_at	11.9667	12.283	12.1374	11.9695	12.0571	12.0914	12.2301	11.6909	12.3298	12.3043	11.9138	12.9895	9.54224	9.37228	12.0285	12.053	12.3167	12.4225	12.0947	12.2949	12.0856	12.1458	11.6023	12.1969
4484_s_at	6.59115	6.99936	6.76263	6.2884	6.7375	6.62583	6.62527	6.30289	7.03055	7.11815	7.02442	8.33353	6.37609	5.95024	7.77781	7.78657	6.88663	7.10731	7.13391	7.41168	6.91499	6.64664	6.53676	6.82479
4485_at	7.88199	7.82466	7.86161	7.52952	7.76382	7.24159	7.69892	7.76463	8.03397	7.94655	6.81301	8.38228	6.26608	6.07342	8.7065	8.56404	9.09452	8.81378	8.72672	7.95147	8.45477	8.39865	7.91182	8.22843
