ID_REF	GSM677582	GSM677583	GSM677584	GSM677585	GSM677586	GSM677587	GSM677588	GSM677589	GSM677590
185211_at	35.023	50.8743	34.6265	58.0098	43.2317	41.6718	45.0501	44.6626	49.7381
185212_at	84.832	140.039	98.6562	137.382	108.516	149.478	91.1367	119.677	119.413
185213_at	4.31551	null	4.21844	null	5.07846	null	null	null	null
185214_at	13.8001	58.6938	null	34.741	56.2529	61.856	3.11565	10.1887	13.6214
185215_at	null	10.0317	16.7996	0.9527	null	5.12751	10.7573	9.24231	18.7205
185216_at	6.41625	13.7569	22.5597	null	23.3313	25.4109	17.5937	null	14.2198
185217_at	39.5719	44.2796	49.8027	51.6085	48.1483	53.4536	28.7802	46.012	48.818
185218_at	7.93995	0.67688	null	null	6.99865	12.9342	1.49636	null	null
185219_at	11.254	49.0422	17.108	46.086	38.0439	49.2959	23.9853	41.4736	43.2344
185220_s_at	412.783	913.385	544.51	749.856	673.487	815.295	554.767	549.391	760.885
185221_at	null	null	null	null	null	null	null	null	0.39642
185222_at	33.0003	49.0375	24.8623	21.5422	31.0652	31.3444	23.2886	22.732	17.8788
185223_at	340.279	673.464	397.23	551.774	503.501	541.685	335.615	438.126	404.014
185224_at	52.911	131.161	58.8677	85.2249	69.4105	98.5885	50.4145	69.2395	79.8929
185225_at	8.79725	null	13.3028	32.1886	26.4488	27.4835	28.0799	26.5067	8.65051
185226_at	25.3697	37.5934	29.4728	33.0654	29.9632	19.2788	26.0744	26.2415	27.4364
185227_at	105.344	182.883	83.4746	186.418	147.288	120.693	74.2193	132.522	65.1837
185228_s_at	1781.14	3526.71	2418.79	2762.84	2582.01	3154.42	2135.15	2596.64	3012.05
185229_at	67.0908	142.433	78.9659	109.198	82.3776	105.466	91.6289	91.066	71.4632
185230_s_at	899.545	2043.64	1220.91	1618.4	1590.82	1673.01	1038.56	1261.17	1430.48
185231_at	6.55962	15.3606	12.8823	13.5413	20.4033	12.208	12.169	8.82532	12.8305
185232_at	11.8863	null	null	null	null	1.25849	null	null	null
