ID_REF	GSM101230	GSM101231	GSM101232	GSM101233	GSM101234	GSM101235	GSM101236	GSM101237	GSM101238	GSM101239	GSM101240	GSM101241	GSM101242	GSM101243	GSM101244
leuT_b3798_s_at	9680.3	5028.1	4717.2	5417	6065.5	9341.7	6226.8	8709.6	8342.5	6373.3	8008	7915.5	6898.8	5885.4	5250.2
leuU_b3174_at	13.1	15.7	28.7	7.9	12.1	15.8	10.5	15.7	15.7	19.8	19.8	11	18.4	20.5	12.5
leuV_b4368_s_at	6196.1	5344.7	5593.6	5597.6	5131.3	6973.7	6234.2	6129	7662.3	6506.9	7563.4	7462.5	7140.3	4471.6	4945.9
leuW_b0672_at	13796.8	9821.9	8872.6	8365.2	9154.5	10500.8	15546.3	14997.8	12192	13725.2	12878.8	8119.1	9765.9	10209.5	10276.7
leuX_b4270_at	485.3	745.4	766.3	525.1	432.2	796.1	740.2	774.1	1218.6	667.2	1002.5	841.9	716.2	487.9	332.9
leuZ_b1909_at	5636.3	4742	4946	4011.7	2505.8	1909	2003.5	1632.3	2082.8	1772.4	5461.6	3118.2	1246	782.2	3535
lexA_b4043_at	2909.6	2509	2520	2446.9	2382.7	2356.3	2630.3	2418.9	2240.1	1894.7	3567.2	3149.9	2947.7	3139.4	3082.3
lgt_b2828_at	2423.6	2385.1	2636	2529.5	2356.8	1739.8	2229.8	2056.5	2196.5	1857.2	2383.8	2865.9	3614.3	2879	2193.5
lhr_b1653_at	134.7	74.4	24.4	18.6	27.2	48.8	41.3	162.4	78.5	96.5	24.1	36	36.7	131.2	42.7
lig_b2411_at	1770.8	1455.5	1556.5	1200.5	1644.6	1734.6	777.5	1845.3	1589.7	1379.4	1372.1	1693.2	1217.9	1200.5	1048.4
lipA_b0628_at	3436.1	3039	4157	3622.6	2613.1	1576.9	1122.2	1046.8	1205.4	1550	917.1	1057.1	1145.9	936.8	1320.1
lipB_b0630_at	881.4	887.2	914.6	1067.2	831.8	745.4	570.9	1015.4	507.2	817.3	696	502.6	318.4	407.2	798.6
lit_b1139_at	55.4	70.4	73.8	73.4	76.1	17.2	34.4	24.6	39.1	41.5	81.1	56.4	111	63.8	24.6
livF_b3454_at	273.9	468.7	188.5	335.5	369.9	993.9	343.3	744.4	603.4	689.1	542.3	528.9	414.2	654.3	498.5
livG_b3455_at	159.9	286.5	271.1	243.5	190.4	659.1	483.2	567.6	550.3	737.2	413.9	376.2	381.5	538.3	332.6
livH_b3457_at	211.1	299.9	301.7	226.4	221.1	691.5	425.9	387.6	382.6	428.5	249.7	298.1	441.2	280.5	204.5
livJ_b3460_at	308.7	852.3	794	788.5	1030.7	937.4	624.6	860.5	960.6	1081.1	657.7	655.9	808.2	468.9	769
livK_b3458_at	114	76	47.5	34.9	71.7	192.9	75.7	258.3	128.3	174	71.6	85.2	43	64	45.4
