ID_REF	GSM1151351	GSM1151352	GSM1151353	GSM1151354	GSM1151355	GSM1151356	GSM1151357	GSM1151358
1415761_at	0.153032	-0.00370789	0.0186062	-0.195116	0.0887709	0.00349426	-0.00349426	-0.115972
1415762_x_at	0.21368	-0.0508213	0.125955	-0.0553608	0.119768	0.0508213	-0.0855083	-0.112299
1415763_a_at	0.0910082	-0.0135326	0.0135326	0.0167627	-0.039711	-0.164588	0.0550356	-0.0726709
1415764_at	-0.0141687	0.0333614	-0.0754442	-0.163678	-0.0154963	0.0305824	0.174735	0.0141687
1415765_at	-0.10582	0.0132456	-0.0739594	-0.0132456	0.127513	0.276814	0.093997	-0.0426521
1415766_at	0.0515404	-0.00201416	0.0114288	0.00201416	-0.0491724	-0.0330734	0.0424614	-0.0641155
1415767_at	-0.0584993	0.0522232	-0.124011	-0.250626	-0.0381966	0.0381966	0.0943069	0.0632086
1415768_a_at	0.0386305	-0.0239906	-0.1123	-0.43293	0.0810461	0.121788	-0.501176	0.0239906
1415769_at	0.0465269	-0.145051	-0.106677	-0.0994043	0.132771	-0.00605345	0.00605345	0.125512
1415770_at	-0.101251	0.0819521	0.115244	0.150239	-0.0803766	-0.162654	-0.329675	0.0803766
1415771_at	0.0173597	-0.0173597	-0.119421	-0.119688	0.0572309	0.0766907	-0.0740318	0.0624714
1415772_at	0.0480676	-0.00274849	-0.0359082	-0.272193	0.00274801	0.169188	0.125476	-0.0170822
1415773_at	0.00432301	-0.00432301	-0.236346	-0.324439	0.0400524	0.360451	-0.0127325	0.151589
1415774_at	-0.168943	0.0266571	0.00852966	-0.00852966	0.0180292	0.160371	-0.00873947	-0.105687
1415775_at	0.00703525	0.0311041	-0.138083	-0.00703525	-0.0402002	0.0285597	-0.0756025	0.0196066
1415776_at	-0.0097084	0.0035696	-0.0189223	-0.0176797	-0.0035696	0.0485196	0.0614333	0.00376034
1415777_at	0.00326729	-0.00326753	0.0802546	-0.102589	0.138448	-0.278081	-0.0415294	0.0492353
1415778_at	-0.0471344	-0.00779438	-0.0576496	-0.0579605	0.0203724	0.0587091	0.0802631	0.00779438
1415779_s_at	-0.0266399	0.0662584	0.0209751	0.000506	-0.0274773	0.0549307	-0.166916	-0.000506
1415780_a_at	-0.04356	-0.00912094	-0.082613	-0.166227	0.0848427	0.0279093	0.00912094	0.10242
1415781_a_at	-0.0456352	-0.0203514	0.0203505	-0.0883865	0.0430098	0.112205	0.108454	-0.0239859
1415782_at	0.0331421	0.00544453	-0.0518703	0.0491648	-0.045001	0.0170164	-0.00544453	-0.0132809
1415783_at	-0.0338154	0.0338154	-0.120938	-0.138925	0.0970039	0.132656	0.0430574	-0.0478067
1415784_at	0.018383	-0.189998	0.209582	-0.279026	-0.0183835	0.130912	0.347012	-0.233881
1415785_a_at	0.0990448	-0.0209961	-0.0701904	-0.0526123	0.126981	0.163923	0.0179491	-0.0179491
1415786_at	-0.0445642	0.0938954	0.0445642	0.49472	-0.0666142	-0.0594387	-0.084301	0.077189
1415787_at	-0.0795765	0.0605116	-0.0415974	-0.153705	0.0565834	0.0753689	-0.0089035	0.0089035
1415788_at	0.0282278	-0.0320034	0.0436926	-0.276278	0.0103359	-0.0183859	0.0502481	-0.0103359
1415789_a_at	-0.0212092	0.244604	0.0147343	-0.350981	-0.101998	-0.0147338	0.0452609	0.0156837
1415790_at	-0.0235596	-0.130402	0.0820255	-0.23768	0.0622835	0.0235596	0.134771	-0.060009
1415791_at	-0.0782557	0.00173855	-0.0177031	-0.148591	0.046977	-0.00173855	0.0117798	0.00475216
1415792_at	0.148456	0.0689058	-0.0022707	-0.0919333	0.0454378	0.0022707	-0.599702	-0.0383501
1415793_at	0.0083046	0.0164952	-0.122661	-0.109863	0.0436788	0	-0.0710511	0
