ID_REF	GSM153907	GSM153909	GSM153911	GSM153913	GSM153915	GSM153908	GSM153910	GSM153912	GSM153914	GSM153916
2990_g_at	9.9	18.4	9.2	4.1	7.3	15	14.2	15.3	22.6	20.4
2991_at	1.3	5	1	0.4	0.7	4.8	5.9	0.4	0.6	0.6
2992_g_at	4.2	4.9	0.8	0.4	0.6	6.7	9.3	3.3	4.1	1.1
2993_s_at	2.5	4.8	3.4	4.6	2.3	0.4	2.8	0.1	4.9	0.9
2994_s_at	1.7	3.2	4.3	0.5	2.4	2.3	3.7	1.9	3.6	0.5
2995_s_at	5	5	5.2	0.3	2.6	1	4.8	0.3	4.6	0.4
2996_s_at	28	42.6	21.4	0.7	12.1	39.6	32.3	21.5	18.6	19
2997_s_at	13.5	16.4	11.5	3.8	8.7	19.6	10.1	7.1	10.1	10.9
2998_at	14.4	16.6	12.3	5	7	14.6	18.2	10	10.4	5.4
2999_at	18.9	18.7	11.1	8.5	7.2	13.2	14	12	7	5.4
3000_at	23.9	25.5	15.3	0.8	7.6	15.4	22.2	17.8	7.1	8.1
3001_at	12.5	9.8	7.9	0.5	9.8	9.1	12.3	8.2	4.4	1.8
3002_g_at	11.2	13.3	5.4	2	7.5	2.4	6.3	6.4	1	0.8
3003_s_at	30	34.5	23.3	28.4	26.6	25.7	31.6	26.6	31.5	32.2
3004_s_at	50.1	70.5	37.5	37.3	56.2	41.1	41.6	47	53.5	51.9
3005_at	2.8	8	7.6	5.3	8.1	2.1	8.2	7.4	1.6	0.8
3006_at	8.4	6.5	4.1	4.7	4.1	3.6	5.3	5.5	7.7	6
3007_at	17.7	13.7	5.3	6.9	8.5	13.6	13.6	12.7	14.5	15.8
3008_at	7	3.7	0.2	9.4	0.3	5.6	3	0.3	6.2	2.3
3009_g_at	12.2	6.1	0.1	4.2	6.5	6.7	3.1	6.5	11.1	5.2
3010_s_at	0.5	0.2	0.1	0.2	0.4	0.8	1.2	0.1	6.1	0.6
3011_s_at	7.3	9.6	5	14.2	10.5	12	8.4	6.2	11.2	5.5
3012_s_at	44.9	39.5	52.4	38.4	33	41.2	61.8	39.4	32.7	36
3013_at	13	6.6	1.4	14.1	1.3	8	12.8	4.1	4.2	4
3014_at	1.6	1.5	 	2.2	0.1	1.8	1	4.2	2.6	1.9
3015_at	5.5	2.5	0.7	5	1.2	3.4	3.2	1.6	0.2	1.4
3016_at	14.9	3.1	9.2	3.6	5.9	6.7	6.1	4.5	5.8	6
3017_g_at	8.4	7.6	0.8	6.7	5	2.4	12	5.5	12.1	12.9
3018_s_at	14	4.6	0.3	2.9	6.2	10.5	10.9	7.1	7.1	8.5
3019_at	1.3	5.3	0.6	0.4	0.2	0.5	9.4	0.5	1.7	0.4
3020_at	0.2	0.2	0.2	0.5	2.3	0.8	1.7	0.1	2.2	 
3021_at	3.5	16.7	1.1	4.7	9.1	10.4	16.2	0.8	0.4	2.7
3022_at	0.6	1.3	0.7	0.8	0.4	0.9	3	0.8	2.4	0.3
3023_at	2.2	3	0.2	1.6	0.1	0.5	0.3	0.3	2.3	0.9
3024_g_at	8.1	13	6.6	2.8	6.3	9.1	14	4.8	11.9	8.4
3025_s_at	43.2	32.5	27.5	7.8	17.3	28.3	42.3	25.3	32.1	34.8
3026_at	0.6	2.6	0.5	0.3	2.8	0.3	5.4	2.1	4.7	0.9
3027_at	4.7	4	1.6	0.4	2.4	6.5	3	0.8	4.7	3.4
3028_at	2.2	0.6	3.3	0.4	1	3.1	1.1	0.6	0.1	1.2
