ID_REF	GSM488119	GSM488121	GSM488123	GSM488125	GSM488127	GSM488129	GSM488111	GSM488113	GSM488115	GSM488117	GSM488131	GSM488120	GSM488122	GSM488124	GSM488126	GSM488128	GSM488130	GSM488112	GSM488114	GSM488116	GSM488118	GSM488132
211357_s_at	91.9756	68.4691	21.4399	30.146	113.284	352.042	14.5699	14.3326	95.5005	51.9702	21.9453	205.817	52.5545	24.3017	92.0683	18.7989	50.575	8.63578	24.9268	44.6169	33.9515	8.94386
211358_s_at	42.3484	209.485	59.543	91.3266	28.8525	204.828	97.1527	231.929	88.1311	133.281	41.3412	48.1842	34.3382	15.9566	265.803	22.3108	60.768	140.356	259.591	75.5017	89.5451	84.6547
211359_s_at	80.6092	269.464	48.6649	61.4373	295.75	258.568	3.99602	81.8481	27.6213	10.6591	50.4028	254.386	77.501	104.112	367.032	177.469	5.92797	77.4213	209.813	44.8304	27.2156	14.3868
211360_s_at	10.0343	115.766	18.2467	23.8676	48.7073	35.6648	11.2194	10.1812	15.1029	5.29336	3.95862	51.0248	15.9343	8.53053	132.497	292.844	60.3009	10.8544	13.9123	14.4269	13.4966	11.2725
211361_s_at	1.34385	95.837	38.7433	5.86319	251.775	13.3935	18.2869	3.76824	15.9533	28.5004	3.20252	129.779	22.1187	14.3923	92.2907	65.2364	3.63398	16.5185	1.27444	4.44069	1.23584	3.64734
211362_s_at	71.9392	52.5695	36.9225	26.8443	111.219	50.6313	110.124	104.664	23.0438	19.2098	34.8602	141.176	28.3518	25.0356	11.5489	37.0726	6.5925	71.6662	79.9895	20.0521	27.067	21.1802
211363_s_at	32.1855	23.6443	2.46397	5.8532	27.629	34.2462	4.19752	14.2559	9.03411	2.41862	3.37624	31.8061	16.3002	4.32497	34.4384	19.2555	3.09742	2.8298	9.69972	3.05225	5.38638	2.25218
211364_at	107.227	459.159	36.5793	73.3153	246.667	326.65	70.1718	144.409	89.6901	75.671	66.0997	531.031	53.094	20.2793	14.5027	209.893	42.8948	57.7258	8.92219	17.8923	35.9864	25.4675
211365_s_at	44.6078	216.47	5.00643	10.0671	14.2003	112.342	17.3072	18.8326	5.76193	10.8943	11.4537	150.349	6.35984	20.027	7.82918	35.6349	3.68434	5.73326	14.1714	5.14058	9.93163	2.29158
211366_x_at	173.038	52.2767	108.745	114.988	118.199	304.817	145.261	180.325	46.9709	27.076	168.769	409.676	142.144	95.2022	55.7752	26.1721	79.7292	97.9953	276.243	84.8989	69.0103	114.423
211367_s_at	39.8344	122.084	34.7322	34.0583	124.848	82.4618	29.3546	42.3601	27.6996	13.21	28.9247	49.7451	107.188	44.2863	191.453	14.8528	11.5529	13.4367	8.74891	48.5866	15.6675	42.8893
211368_s_at	9.32475	23.6764	92.8618	88.7036	140.79	31.1101	5.67227	95.5625	98.1404	10.7243	140.857	40.04	75.5784	8.28609	30.3112	11.8834	7.43908	40.2939	126.894	5.82041	33.0864	63.4173
211369_at	10.8062	297.056	5.99023	7.86284	37.5038	148.16	10.5445	47.982	31.6403	66.926	18.1475	141.676	9.21574	84.8152	18.2341	19.7147	71.6568	15.5908	53.9827	7.97548	27.3347	14.5124
211370_s_at	46.6807	16.226	94.7864	16.6257	13.0272	47.4695	19.5753	113.994	21.5924	87.2747	117.971	21.5585	123.199	7.41601	56.5387	11.0534	48.5792	103.851	31.261	95.0852	111.35	138.475
211371_at	9.62155	177.724	13.6402	17.1762	36.7771	44.8709	66.2244	22.3294	17.1319	8.83606	11.9196	38.3568	11.4408	34.1518	32.8879	263.525	19.7899	8.63963	71.4504	12.2029	3.16451	3.74115
211372_s_at	17.6942	31.0412	8.28218	5.22278	29.0591	73.1318	13.2453	78.6246	13.9353	11.8733	5.66437	23.8831	14.8209	14.192	6.69042	16.7401	6.29065	14.0653	30.5751	6.14417	5.18254	4.44729
211373_s_at	388.083	33.0855	112.909	294.126	188.582	36.3805	189.616	165.56	232.287	189.158	129.44	18.9503	236.075	86.3373	132.878	332.876	175.396	249.528	124.019	206.166	124.765	178.641
211374_x_at	358.321	776.199	152.064	289.284	634.043	1390.47	156.314	194.513	98.3731	167.961	128.745	1094.29	168.472	548.404	363.004	367.524	170.771	137.017	160.538	221.048	122.186	80.8373
211375_s_at	643.621	259.781	866.72	336.62	207.811	378.735	378.834	270.203	453.046	792.631	556.704	219.574	539.547	306.189	151.628	344.474	556.39	359.106	343.649	730.096	857.3	899.198
211376_s_at	12.4051	48.9188	158.033	155.977	274.658	244.429	104.675	116.771	144.089	95.8679	137.801	190.349	135.928	261.716	10.6217	19.4923	91.0719	138.397	109.081	133.572	68.3841	144.923
211377_x_at	50.997	89.3529	16.7197	22.9114	33.1825	43.1565	11.6777	15.1748	15.4936	6.47542	7.67017	12.8251	7.9861	23.2819	15.9996	52.1714	4.71297	8.50666	11.199	14.8724	11.0053	2.79346
211378_x_at	4700.27	4577.36	4302.29	4087.64	660.048	3882.07	9901.65	7214.14	8338.36	5532.73	4878.94	2974.72	5598.59	3364.53	3929.46	5756.25	8328.56	9205.67	8025.12	5850.31	3900.34	4054.34
211379_x_at	56.1963	215.059	75.2125	67.5518	9.88247	152.906	29.8843	2.81745	107.526	27.0044	78.5545	20.2147	62.7653	47.5052	165.12	170.606	45.3994	99.3036	25.0497	35.2217	74.2012	115.279
211380_s_at	5.52628	22.8698	14.0292	11.5065	114.164	31.3884	17.9015	23.3992	158.987	2.76623	9.57022	40.2708	8.06726	6.298	26.6091	23.2859	8.25634	20.1323	138.414	25.1712	4.06611	1.58174
211381_x_at	17.3481	63.2775	10.2239	12.6019	24.7698	27.2822	26.7096	9.41202	7.76422	12.7015	58.5625	43.1908	3.54031	47.447	145.487	96.9341	35.7541	3.18255	106.296	9.52755	14.8707	7.18643
211382_s_at	192.23	21.4701	181.137	155.242	325.296	280.618	139.622	95.9131	159.389	164.111	198.768	228.857	193.788	176.845	152.237	15.6268	128.694	163.046	72.1544	157.176	107.135	165.122
211383_s_at	478.649	235.173	407.084	473.314	358.801	102.072	746.411	387.329	448.203	824.698	523.351	100.74	428.963	487.813	450.903	148.48	571.398	784.215	302.071	423.466	427.479	1052.28
211384_s_at	72.3892	49.0102	17.011	47.6489	84.3789	197.615	14.4594	18.3464	31.6046	21.8913	43.7597	29.1563	33.0518	25.3393	11.7603	16.4134	10.8486	11.512	39.2325	37.8421	17.1595	11.6677
211385_x_at	315.672	20.9769	137.908	155.857	158.123	60.0278	182.305	292.463	61.2327	98.1431	240.541	229.993	278.953	187.22	142.547	366.822	62.7302	91.4945	66.7802	358.812	124.288	148.076
211386_at	267.727	696.17	206.086	352.222	372.005	444.846	240.313	156.24	371.165	515.104	197.769	217.862	260.339	214.153	727.061	842.433	401.871	187.705	239.56	412.574	298.526	387.582
211387_x_at	146.823	408.574	171.196	265.441	78.1069	446.335	130.625	211.931	210.488	142.106	206.829	526.184	133.741	44.4815	68.1607	97.7639	160.413	43.1245	222.701	167.751	226.414	232.769
211388_s_at	119.156	318.313	29.2559	57.2337	252.881	39.1494	75.884	19.2299	13.5428	38.2533	12.9391	218.953	42.3299	121.22	278.755	8.9393	51.6724	37.5705	204.153	82.7847	28.7427	16.3852
