ID_REF	GSM86746	GSM86747	GSM86752	GSM86753	GSM86758	GSM86764	GSM86748	GSM86759	GSM86755	GSM86756	GSM86757	GSM86749	GSM86750	GSM86751	GSM86761	GSM86762	GSM86763	GSM86767	GSM86768	GSM86769
3063_at	1.263034406	1	1.378511623	1.137503524	1.765534746	0.847996907	-0.736965594	0.378511623	-0.514573173	-1.736965594	-1	2.10433666	0.137503524	1.137503524	-0.736965594	3.053111336	1.378511623	2.03562391	1.963474124	0.925999419
3064_at	2.432959407	2.03562391	-3.321928095	1.201633861	1	-1.321928095	0.925999419	0.485426827	-2.321928095	1.925999419	1.201633861	1.070389328	1.632268215	0.847996907	2.137503524	0.378511623	0.765534746	-0.736965594	1.632268215	1
3065_g_at	3.087462841	2.560714954	2.03562391	3.277984747	3.201633861	2.944858446	3.121015401	2.432959407	1.070389328	2.786596362	0.765534746	3.744161096	2.963474124	2.232660757	2.459431619	3.277984747	1.678071905	1.432959407	2	1.678071905
3066_at	0.263034406	-1.321928095	-3.321928095	-0.321928095	-1.736965594	-2.321928095	0.263034406	-2.321928095	-2.321928095	-3.321928095	0.485426827	-3.321928095	-0.514573173	-2.321928095	-2.321928095	1.263034406	-3.321928095	-1.736965594	-3.321928095	-1.321928095
3067_g_at	2.632268215	2.03562391	1.807354922	1.678071905	-1.736965594	-0.514573173	-1	0.678071905	-1.736965594	-1.321928095	0.925999419	2.906890596	1.070389328	-0.152003093	0.765534746	-1.321928095	1.432959407	-0.514573173	1.722466024	-3.321928095
3068_s_at	2.608809243	2.560714954	2.432959407	2.906890596	2.169925001	4.129283017	3.137503524	4.935459748	1.847996907	2.655351829	2.584962501	3.336283388	3.655351829	3.5360529	3.053111336	3.459431619	2.700439718	3.584962501	3.121015401	2.847996907
3069_s_at	3.485426827	0.584962501	1.321928095	2.786596362	0.584962501	1.432959407	0.263034406	1.807354922	0.925999419	2.263034406	0.263034406	1.5360529	3.169925001	0.765534746	-0.514573173	0.485426827	0.584962501	3.087462841	3.5360529	0.678071905
3070_s_at	0.765534746	2.169925001	1.432959407	2.169925001	1.887525271	3.121015401	2.350497247	2.827819025	0.847996907	1.807354922	-0.514573173	3.153805336	2.263034406	1.321928095	1.070389328	1.137503524	1.378511623	3.247927513	-0.736965594	1.378511623
3071_s_at	2.459431619	1.722466024	3.560714954	3.754887502	2.722466024	3.321928095	2.560714954	3.916476644	2.584962501	3.292781749	1.378511623	2.608809243	3.247927513	3.336283388	1.963474124	3.678071905	2.40599236	5.153805336	3.5360529	2.232660757
3072_s_at	5.296457407	4.078951341	5.719731057	5.545350645	5.133399125	6.191799501	5.381975479	5.213347282	4.887525271	5.412781525	4.882643049	5.217230716	5.161887682	5.28169825	6.614709844	5.961160258	6.257387843	6.864186145	6.338067798	5.217230716
3073_s_at	3.596935142	1.485426827	3.44625623	2.263034406	1.847996907	2.944858446	2.378511623	3.350497247	1.963474124	2.485426827	1.765534746	3.432959407	3.44625623	3.292781749	3.498250868	2.321928095	3.053111336	3.608809243	2.03562391	1.963474124
3074_at	2.722466024	2.137503524	1.137503524	1.321928095	1.263034406	-2.321928095	2.201633861	1.722466024	0.847996907	1	0.765534746	2.560714954	1.925999419	1.485426827	-2.321928095	1.584962501	1.432959407	2.169925001	2.263034406	2.10433666
3075_at	1.807354922	2.263034406	0.847996907	1	1.485426827	0.378511623	1.070389328	0.847996907	0.137503524	0	1.321928095	2.321928095	0.584962501	-0.321928095	0.765534746	1.678071905	0.925999419	2.485426827	0.925999419	1.378511623
3076_at	2.700439718	1.632268215	0.137503524	0.263034406	-0.321928095	1	-3.321928095	-1	-0.321928095	 	-1.736965594	0.584962501	-2.321928095	0	-2.321928095	0.378511623	-1.321928095	0.485426827	0.137503524	0.765534746
3077_at	1.321928095	-2.321928095	1.765534746	1.321928095	1.070389328	0.378511623	0.678071905	1.722466024	-0.736965594	0.485426827	-2.321928095	0	1.321928095	-1.736965594	0.378511623	0.678071905	-1.736965594	1.485426827	1.632268215	-1
3078_g_at	4.371558863	2.321928095	4.678071905	5.266786541	4.504620392	4.716990894	2.432959407	1.678071905	4.03562391	5.137503524	-1.736965594	4.270528942	4.548436625	3.847996907	1.847996907	4.263034406	2.560714954	4.336283388	4.857980995	1.632268215
3079_s_at	6.459431619	5.419538892	6.063934306	6.560714954	6.020146573	6.100136671	5.429615964	4.343407822	6.04220656	6.294620749	5.244125943	6.217230716	6.327328083	5.482202926	4.87774425	6.285402219	5.108524457	5.807354922	6.462706751	5.133399125
3080_f_at	8.087462841	5.95419631	6.893604905	7.40599236	7.131342539	6.906890596	6.746850183	5.730639956	6.723831566	7.6387979	7.361066489	7.350497247	7.67030217	7.326429487	6.199672345	7.420381341	6.865423978	6.937815169	7.233619677	6.30560579
3081_at	3.472487771	2.944858446	2.292781749	2.321928095	2.560714954	3.087462841	4.03562391	3.510961919	2.292781749	2	3.744161096	3.857980995	3.765534746	3.744161096	3.017921908	2.963474124	3.944858446	4.053111336	3.827819025	3.678071905
3082_at	2.169925001	2	0.678071905	-0.321928095	-3.321928095	-1	-1.736965594	-0.321928095	0.584962501	0.378511623	-0.152003093	1.263034406	1.887525271	0.765534746	0.263034406	1.321928095	-3.321928095	1.263034406	1	0.925999419
3083_g_at	0.925999419	-0.321928095	1.432959407	0.678071905	1.137503524	1.321928095	-1	1.321928095	0	1.485426827	-3.321928095	-1	-1	1.201633861	1.5360529	1.925999419	0.765534746	1	0.678071905	1.765534746
3084_s_at	-1	2.201633861	0.378511623	1.137503524	1.263034406	0.263034406	-1.736965594	-1.321928095	-1.736965594	1.765534746	-2.321928095	2.786596362	2.070389328	-0.514573173	1.485426827	1.678071905	0.765534746	1.137503524	1.263034406	1.070389328
3085_s_at	2.292781749	3.232660757	2.963474124	3.523561956	3.03562391	3.754887502	3.10433666	1.263034406	3.153805336	3.754887502	2.867896464	3.678071905	3.711494907	2.867896464	2.700439718	3.263034406	3.277984747	2.925999419	3	2.5360529
3086_s_at	2.485426827	2.459431619	2.292781749	3.03562391	2.722466024	1.847996907	1.137503524	2.632268215	2.137503524	3	-2.321928095	2.867896464	2.378511623	1.485426827	-1.321928095	1.5360529	1.263034406	1.584962501	2.378511623	1.584962501
3087_s_at	-1.736965594	-0.152003093	2.10433666	2	1.584962501	2.744161096	-0.514573173	0.263034406	2.137503524	2.292781749	-0.514573173	-0.321928095	2.10433666	2.10433666	-1	-0.321928095	-1	3.137503524	2.510961919	-0.152003093
3088_at	2	1.201633861	1.925999419	1	0.584962501	1.5360529	1.432959407	0.925999419	0.847996907	1.847996907	1.807354922	3.017921908	4.169925001	2.40599236	2.378511623	2.827819025	3	2.608809243	1.584962501	2.070389328
3089_g_at	2	-2.321928095	2.137503524	0.847996907	0.847996907	1.5360529	0.765534746	0	0.263034406	2.292781749	-1	2.765534746	3.510961919	1.432959407	2.292781749	2.655351829	3.03562391	2.432959407	2.584962501	-1.321928095
3090_s_at	3.350497247	3.807354922	3.847996907	3.053111336	2	4	2.510961919	2.827819025	3.017921908	3.087462841	2.700439718	2.807354922	6.402585758	3.364572432	4.655351829	4.608809243	5.048759312	4.711494907	4.738767837	3.99095486
3091_at	0.847996907	1.925999419	1.584962501	1.887525271	1.070389328	-1	2.510961919	-0.736965594	0.584962501	1.925999419	2.655351829	2.321928095	2.560714954	2.459431619	2.350497247	0.678071905	3.263034406	1.263034406	2.925999419	1.584962501
3092_f_at	0.925999419	1.485426827	2.786596362	1.963474124	1	3.786596362	2.944858446	-1.321928095	 	2.321928095	3.887525271	3.44625623	4.232660757	3.153805336	4.177917792	2.5360529	3.744161096	0.137503524	2.232660757	0
3093_f_at	5.137503524	5.318316841	3.99095486	3.744161096	2.560714954	3.584962501	5.277984747	3.572889668	3.10433666	4.078951341	4.949534933	5.783980414	6.560714954	5.266786541	4.916476644	4.44625623	5.259272487	3.678071905	3.40599236	3.292781749
3096_f_at	4.765534746	3.797012978	3.548436625	3.336283388	4.185866545	4.044394119	4.882643049	2.827819025	3.121015401	3.972692654	5.807354922	4.584962501	5.5360529	4.439623138	4.472487771	5.675251386	6.074676686	3.887525271	3.364572432	4.738767837
3097_at	2.263034406	1.765534746	0.137503524	0.925999419	1.137503524	2.40599236	2.137503524	1.070389328	-0.321928095	-0.321928095	1.887525271	2.201633861	3.10433666	1.925999419	2.169925001	1.807354922	2.263034406	2.263034406	1.5360529	2.03562391
