ID_REF	GSM45194	GSM45279	GSM45281	GSM75830	GSM75831	GSM75832	GSM45282	GSM45283	GSM45284
2320_at	25.2	6.8	25.3	29.6	10.4	11.4	15.8	19.8	11.9
2321_at	55.7	16.2	35.6	72.6	75.3	55.3	59.9	31.4	62.6
2322_at	91.3	55.8	34.3	55	66.2	49.3	43.9	41.3	69.8
2323_g_at	223	137.6	107.9	108.3	226.9	247.2	210.5	112.5	215.2
2324_s_at	89.3	46	48.7	63.2	133.5	84.7	89.8	57.3	109.9
2325_s_at	74.3	68	39.4	44.7	100.1	24	49.5	42	85.1
2326_s_at	51.1	31.1	19.8	31.4	93.6	28.6	57.8	44.4	65.1
2327_s_at	33.5	14.7	28.1	42.3	53	20.6	42.3	33.8	47.6
2328_at	49.4	60.2	8.2	26	20.9	24.1	20.1	36.2	19.2
2329_at	24.6	22.5	24.9	9.4	2	0.5	0.8	0.2	7
2330_g_at	57.8	63.2	92.8	39	31.4	11.5	45.4	28	46
2331_s_at	126	213.3	135.5	82	176.6	33.9	139.7	113.4	110.8
2332_s_at	515.4	597.6	431.3	269.3	453.4	151	352	366.2	398.1
2333_s_at	342.7	590.2	254.4	85.8	388.4	149.4	260.7	309.1	321.8
2334_s_at	59	126.3	42	4	91.5	51.3	54.8	96.4	88.7
2335_s_at	87.8	210.4	91.3	48.8	83.4	61.2	97.8	83.8	63.5
2336_at	42.1	51.5	21	24.9	29.7	17.4	31.2	41.9	38.1
2337_at	124.6	84	75.4	104.6	44.4	6.5	65.2	25.6	24
2338_at	143.1	113.5	104.5	48.9	31.9	20.4	113.9	29.1	30.7
2339_at	24.7	23.9	19.4	23.6	26	13.1	16.4	16.8	31.6
2340_at	234.7	405.7	286.7	321.4	421	92	332.5	213.6	345.5
2341_g_at	109.4	189.8	95.5	114	209.4	52.1	151.4	105.2	181.1
2342_s_at	112.2	189.5	151.7	133.3	350.3	266.8	212.7	170.7	343.8
2343_at	79.9	129.5	64.2	111.5	64.6	78.8	100.7	56.9	64.7
2344_g_at	95.9	105.2	110.8	93.4	60.2	81.5	63.3	59.3	89.7
2345_s_at	99.5	163.3	144.2	180.1	86.8	114.5	111.3	97.5	145.5
2346_s_at	38	36.3	30.2	20.6	23.5	24.7	36.6	22.8	18.3
2347_s_at	15.8	16.5	3.8	2.3	25.2	17.5	13	27.9	34.1
2348_s_at	72.6	130.5	71.4	108	89.1	6.9	69.2	64.5	77.9
2349_s_at	64	79.9	62.4	47.1	61.2	26.7	49.2	73.6	64
2350_s_at	232.4	302.7	156.1	132.9	276.8	97.7	195.3	272.6	210.8
2351_s_at	75.6	97.8	53.3	78.8	91	25.3	53.1	56.5	67.2
2352_at	39.7	43.4	43.2	89.7	43.9	3.6	37.4	26.8	38.5
2353_at	50	74.8	52	69.8	48.6	37	45.6	23.8	39.5
2354_at	20	29.5	19	19.4	7.9	10.4	13.5	14.9	20.4
2355_at	5.3	9.1	0.6	17.4	13.9	14.2	12.5	0.3	0.4
2356_at	56.6	72	55.6	63	66	38.3	52.7	30.2	55.4
2357_at	35.6	45.7	42.6	50.5	44.5	33.7	44.8	24.7	28.5
2358_at	24.8	46.4	19.3	74.3	36.4	19.2	22.9	11.7	41.2
2359_at	41.9	46	29	69.3	65.7	45	56.3	30.2	55.6
2360_g_at	78.9	145	104.3	45.5	47.3	89.7	156.2	128.1	150.6
2361_s_at	49.1	76.8	56.5	92.1	53.9	4.8	59.3	68.2	62.2
2362_s_at	41.7	102.5	55.7	71.3	93.3	7.2	61.3	66.7	56.3
2363_s_at	199	234	128	129	209.1	47.5	189.4	222.9	135.5
2364_s_at	122.7	155.5	118.3	112	147.8	60.8	122.4	116.5	118.9
2365_at	35.8	6.3	25.7	51.5	24.1	20.6	32.9	36.4	24.3
2366_s_at	61	69	87.8	45.3	37.9	15.2	31.3	29	45.5
2367_s_at	194.5	208.1	189.9	104.7	146.3	56.2	102.2	130.3	160.2
2368_s_at	26.9	30.2	26.6	22.1	25.1	13.7	20.9	22.4	24.8
2369_s_at	59.2	39.9	38.9	19.5	28.8	50.8	28.4	28	38.8
2370_s_at	22.5	6.9	12.9	17.9	15.3	9.3	5.6	6	17
2371_at	169.1	182	41.9	129.9	62.8	59.2	55.7	41.5	109.2
2372_at	352.1	262.3	166.2	270.2	82.8	125	165.5	97.5	94.5
2373_at	25.9	25.5	5.9	12.2	2	6	2.5	2.9	4.2
2374_at	101.8	143.3	94.2	118.7	103.3	77.1	89	68.7	88.7
2375_s_at	26.6	122.3	26.3	42.1	54.7	10.7	48.2	17.8	49.6
2376_s_at	60.9	78.6	72.3	109.1	70.1	64.3	53.7	62.3	55.7
2377_at	73.4	71.9	62.5	66.4	42.6	53.7	57.4	34.3	35
2378_g_at	291.3	564.2	75.6	280.8	425.2	106.8	291.2	186.8	410.2
2379_s_at	125.4	201	73	92.9	198.8	105.1	107.9	106.9	151.8
2380_s_at	80.1	111	37.3	81.2	116.9	25.9	96.6	24.9	95.7
2381_s_at	103.4	214.4	78.7	71.5	183.8	36.4	154.6	125.2	179.5
2382_s_at	536.6	1214.3	348.4	489.4	655.8	202.6	662.1	703.1	634.3
2383_at	39.1	60.6	41.2	52.2	26.4	1.1	18.3	26.4	17.2
2384_at	30.5	55.8	31.8	34	32.7	26.4	30.3	25.1	28.1
2385_at	12.7	1.5	7.3	2	1.2	5.6	11.1	2	13.4
2386_at	30.8	32.8	21.1	21.9	33.6	32.9	25.1	24.2	34.8
2387_at	100.2	97	44.6	109.4	198.8	152.7	165	131.9	158.7
2388_s_at	64.1	71.8	35.9	2.4	18.4	37.9	22.2	31.8	50.3
2389_s_at	1.3	4.4	0.2	0.5	0.6	19.9	0.6	5.6	1.1
2390_s_at	55.3	127.8	36.6	29	110.5	33.7	43.1	54.6	77.1
2391_s_at	25.2	89.6	22.6	22.9	40.1	11.1	5.7	31.4	22
2392_s_at	20.4	53	18.3	15	31.6	10.3	13.3	25.6	32
2393_s_at	106	191.7	37.3	64.4	150.3	44.5	95.4	101.9	147.7
2394_s_at	138	218.3	52.4	63	182.7	114.8	104	128.6	153.9
2395_at	24.2	96	3.4	41	81.7	85	57.6	26.7	35.5
2396_at	21.5	28.5	9.7	16.7	22.4	19.5	10.1	5.9	23.4
2397_at	2.1	23.5	10.8	3.8	8.2	3.1	5.5	8.8	1.5
2398_g_at	69.5	82.3	26.3	34.2	42.5	27.8	49.8	49.9	36.5
2399_s_at	44.2	103.4	20.8	36	62.8	26.8	29.5	48.2	56.7
2400_s_at	30.4	56.9	7	27.8	35.2	18.5	16.2	21.3	20.2
2401_s_at	36.5	81.3	34.7	57.3	58.9	24.7	24.5	47.5	29.4
2402_s_at	52.1	117.6	41.5	26.9	137.1	3	59.9	85	49.8
2403_s_at	72.5	91.6	32.9	20.8	104	41.9	49.7	81.5	70.7
2404_s_at	166.9	193.5	56.8	104.8	342.5	74.4	153.4	227	134.5
2405_at	54.9	67	22.7	54.3	93.5	82.4	99.8	49	76.3
2406_at	49.2	45.1	30.9	61.3	53.3	32	53.7	33.1	67.2
2407_at	286.1	181.7	195.7	402.3	541.7	250	476.2	241.9	470.9
2408_at	83.9	13	61.6	72.3	67.1	94.1	48.9	53.3	58.2
2409_at	125.5	26	99.4	31.7	9	1.7	60	38.2	8.6
2410_g_at	103	2.4	18.6	20	17.3	14.9	33.8	32.1	10.3
2411_s_at	288.7	51.6	136.5	75.5	152.4	171.3	220.7	143.1	144.9
2412_at	189.4	52.2	73.9	134.3	55.1	53	84.4	62.4	59.4
2413_at	128.7	75.1	82.9	34	72	44.9	113.2	87.3	73.5
2414_at	27.6	19.3	16.2	24	9.2	14.8	15.9	2.5	10
2415_at	40.6	1.4	53	34.1	9.9	1.9	2.7	1.9	3.1
2416_at	33.7	19.4	43.9	41.7	7.9	0.8	39.5	16.1	3.7
2417_at	161.2	61	120.7	111	15.8	49.1	56.8	45.1	16.3
2418_at	39.9	17.7	29.8	60.3	29.3	29.9	48.2	34.2	20.9
2419_g_at	74.2	233.5	70.6	97	198.6	68.4	141.3	103	138
2420_s_at	108.7	430	89.4	135.8	313	88.5	262	242.9	259.9
2421_at	11.4	6.5	19.6	117.1	11.1	3.5	24.8	13	5.7
2422_at	5.8	61.3	1.4	83.9	12.6	4.8	53.8	34.6	19.1
2423_at	17.3	21.2	23.8	71.4	14.9	14.3	27.6	24.7	14.8
2424_at	18.1	38.1	28.9	140.5	51.2	46.3	56.1	106.7	65.5
2425_at	35.6	5	16.7	74.7	37.8	27.4	44.8	37.2	35.9
2426_at	167.6	231.3	104.4	277.2	114.7	78.2	154	111.9	109.5
2427_at	88.1	101	52.4	146	91.2	64.4	65.4	77	57.1
2428_at	42.1	44	11.1	59.6	24.3	5.7	19	6.3	1.3
2429_at	14.4	4.1	1.9	34	16.9	1.8	16.4	13.5	16.9
2430_at	0.8	11.4	1.1	1	0.4	1.5	24.6	0.7	0.2
2431_at	24.1	4.1	6.8	44.9	2.6	0.9	44	3.9	4.5
2432_at	559.6	943.4	284.9	1345.1	1647	1625.4	1576.7	978	1755.9
2433_at	62.4	271	85.4	254.4	712.2	616.6	515.7	270.7	910.6
2434_at	24.8	26	47.4	36	14.9	29.1	66.6	8.2	22.7
2435_at	25.4	58.3	5.9	47.5	21.3	12.4	21.8	12.6	12.4
2436_g_at	296.1	256.6	155	202.7	307.4	104	281.1	220.5	295.6
2437_s_at	22.3	19.3	6.6	18.9	1.4	18	24.7	2	1.7
2438_at	13.4	13	1	3	1.2	9	16.6	1.7	0.2
2439_g_at	33.1	25.7	33.8	44.1	25.6	20.1	12.5	20	21
2440_s_at	35.9	54.5	22.8	23.9	40.1	10.7	31.3	27	8
2441_s_at	44.7	21	9.3	24.5	26.2	13.4	14.4	16.4	19.3
2442_s_at	54.5	70.9	30.5	47.1	43.5	22.3	43.4	29.8	34.3
2443_s_at	61.8	61.5	35.3	34.5	64.2	13.2	41.8	48.4	30.8
2444_s_at	59.7	88.7	28.1	38	123.6	23.1	46.8	85.3	69.9
2445_s_at	140.3	246.7	110.6	149.6	355.3	106.2	194.7	328.6	258.9
2446_at	57.2	59.1	29.2	109	88.9	26.4	36.5	74.4	45.7
2447_g_at	97.5	140.2	31.8	102.8	85.6	2.2	38.6	79.7	74.7
2448_s_at	81	216.1	32.4	161.5	137	32.3	88.3	158.1	94.9
2449_s_at	118.4	400.8	66.7	235.1	366.6	52.4	186.1	447.2	295.9
2450_s_at	95.4	181.6	13.3	125.6	203	18.8	142.7	245.6	173.6
2451_s_at	439.4	594.7	103.1	328	676.8	305.2	481.1	1139.5	666.1
2452_at	41.9	30.8	43.1	70.4	17.3	2.3	15.5	46.4	11.8
2453_at	12.5	27.6	29	50.2	11.4	19.2	9.6	17.6	28.3
2454_at	24.6	23.6	29.5	67	20.7	0.8	2	33	6.5
2455_at	35.5	27.5	39	42.4	19.4	29.3	23.3	41.3	28.6
2456_at	45.3	12	16.5	33.1	18.2	35.9	22	43.8	20.9
2457_at	0.3	5.6	7.5	3.8	9	1	12.5	0.5	6.1
2458_g_at	155.6	214.8	128.4	332.8	91.1	69.2	128.1	340	91.7
2459_at	105.4	184.7	83.6	382.7	436.4	298.5	235.4	441.8	329.5
2460_at	86.3	1.8	54.7	58	15.7	22.4	27.8	86.8	4.5
2461_at	17.5	0.2	10	1.3	9.6	7.5	10	13.5	9.6
2462_g_at	10.8	14.3	6.6	2.1	15.6	0.8	24.5	48	17.4
2463_s_at	58.2	23.6	16.4	38.5	29.2	1.7	37.5	123.5	30.9
2464_s_at	160.6	64.7	62.9	121.3	116	20	65.7	248.6	46.5
2465_s_at	151.4	66.6	101.7	139.8	136.2	54.5	98.2	231.5	75.9
2466_s_at	17.2	5.1	13.5	0.6	12.7	1.2	12.2	9.7	0.3
2467_s_at	181.7	57.6	130.2	214.1	233.7	60.4	127.4	397.2	79.1
2468_s_at	78.2	35.9	75.3	83.2	112.3	35.1	84.3	164.6	53.9
2469_s_at	34	16.4	46.7	17.6	38	39	43.9	69.2	10.2
2470_at	82.6	70.1	88.2	145.8	115.5	117.2	115.9	124.2	87.5
2471_g_at	33.1	60.7	18	51.5	52.5	18.7	30.6	87.6	62.6
2472_s_at	42.6	78.3	43.8	58.1	81.1	77.5	55.6	79.6	65.8
2473_s_at	40.2	26.6	20	51.6	41.7	22	31.7	55.2	48.1
2474_s_at	23.4	17.5	5.5	13.5	18.4	14.5	21.3	58	25.9
2475_s_at	18.5	58.4	24.9	18.8	63.9	26.4	42	56.9	45
2476_s_at	51.7	149.9	48.4	90.9	117.3	9	99.9	171.6	125.8
2477_s_at	29	95.6	72.1	76	119.2	20.1	59.7	120.5	81.1
2478_at	25.4	48.5	39.8	57.7	14.5	35.3	51.1	24.4	18.9
2479_at	19.1	30.6	40.5	46.8	24.5	20.1	43.3	29.9	12.6
2480_at	34	41.3	28.3	66.1	18.8	33	30.9	26.9	4.7
2481_at	7.1	21.1	14.7	40.7	4.8	8.9	2.7	4.5	12.6
2482_at	36.3	42.1	44.5	77.4	19.3	10.8	36.8	38.3	6.6
2483_at	74.6	78.1	107.4	90.3	16.7	14.7	46	73.2	16.7
2484_at	8.7	1.5	4.7	2.3	0.8	2.8	0.3	2.3	0.1
2485_at	63.9	46.4	64.6	74.3	25.7	35.1	48.3	41.6	27.7
2486_at	56	31.2	35.8	61	14.9	23.1	16.2	22.5	2
2487_at	60.4	62	46.3	193.8	51.3	65.1	46.4	74	25.1
2488_at	19.2	126.7	45.9	81.9	15.6	16.1	32.7	52.4	17.1
2489_at	4.7	1	1.2	0.4	null	0.1	3.6	0.7	0.1
2490_s_at	133.9	143.9	85.2	150.5	342	80.3	279.6	290.6	317.1
2491_s_at	41.4	72.8	30.5	15.1	102.3	17.6	108.1	101	88.9
2492_f_at	76.8	73.5	32.2	35.9	88.4	108.9	88.9	116.8	115.8
2493_at	73.9	226.6	71.9	137.1	90.3	45.9	84.8	74.3	63.2
2494_at	42.5	74.1	47.6	57.4	36.7	26.3	34.2	13.6	32.5
2495_at	123.6	181.8	98	78.8	49.6	91.6	84.6	64.3	52
2496_g_at	54.2	345.8	67.9	65.6	124.8	75.6	76.2	37.8	253.2
2497_s_at	105.7	803.2	72.5	108.2	287.9	61.2	148	68.4	444
2498_s_at	326.3	1516.2	238.4	408.4	764.8	300	336.1	281.5	1231.2
2499_s_at	405.2	2585.8	372.7	470.1	1319.1	671.7	674.7	438.8	1906
2500_at	83.1	90.1	125.7	78.3	63.6	53.1	62.3	80.6	68
2501_g_at	82.3	75	83.9	87.6	48.7	41.5	47.2	87.1	76.8
2502_s_at	85	77.9	141.5	72.8	53.3	3.7	37.3	53.9	41.1
2503_s_at	18.9	30	35.7	20.3	14.5	0.8	12.5	16.1	18
2504_s_at	155.5	176.8	216.6	135.4	148.4	70.1	106.8	95.2	103.9
2505_s_at	199.1	273.1	163.7	182.9	236.8	85.1	121.1	175.7	187.5
2506_s_at	156.4	194.9	165.1	105.9	182.8	71	107.5	109.6	119.4
2507_s_at	26.4	64.1	26.4	31	64.1	5.9	38.8	46.4	57.5
2508_s_at	257.5	336.6	189.5	202.1	413.1	254.7	182.1	311.3	342.2
2509_at	65.7	102.9	68.3	114.1	53.3	64.3	93.8	109.5	111.9
2510_at	37.2	42.2	15.4	66.6	53.8	28.3	39.1	36.9	82.9
2511_g_at	26.9	106.8	12.2	38.6	19.9	15.8	17.4	18.5	42.6
2512_s_at	60.7	180.1	37.7	50.3	54.7	11.5	71.6	60.2	107.5
2513_s_at	69.6	143.9	34.8	55	57.7	30.7	50.4	37.5	72.2
2514_s_at	80.2	166.2	49.3	87.6	80.3	49.1	59.4	77.4	93.7
2515_s_at	81.3	166	26.1	38.3	68.2	4.8	34.5	48.2	66.4
2516_at	33.1	60	18.1	63.3	3.5	1.2	26	36.9	12.3
2517_at	27	37.3	17.5	52.5	26	8.7	23.5	17.5	23.8
2518_at	20.1	73.6	6.4	153.9	37.8	6.1	25.6	97.4	19.3
2519_at	4.2	3.3	2.4	84.9	0.9	2.2	1.4	7.1	1.6
2520_at	34.5	24.5	2.7	46	30.7	13.2	23.1	23.8	21.9
2521_f_at	1.1	1.3	27.9	59.3	12.1	38.7	42.5	34.2	6
2522_at	18.5	2.3	10.7	0.8	1	4.3	3.3	12.8	1.1
2523_at	19.3	26.1	10.1	35	0.5	0.3	5.4	0.2	34
2524_at	27.7	23.3	20.9	47.8	5.1	18.2	13.5	14.3	1.2
2525_at	127.3	89.5	63.9	86.5	23	9.8	76.3	95	39.7
2526_at	32	5.9	6.6	36.5	7	5.8	12.9	17.6	11.1
2527_at	67.8	28.1	49.1	50.3	13.2	7.7	25.6	28.6	0.7
2528_at	53.1	53.4	35	66.8	26.1	21.8	38	42	43.7
2529_at	17.5	11.1	2.1	7.3	6.5	6.1	2.1	23.8	5.4
2530_at	96.8	80.2	36.1	162.1	40.4	43.6	75.8	151.6	35.1
2531_at	43.9	61.8	39.1	143.6	42.4	26.7	56	42.1	49
2532_g_at	48.9	56.1	31.7	29.3	31.2	1.8	18.7	44.7	19.1
2533_s_at	131	151.5	79.5	64.2	86	35.2	63.3	64.9	66.6
2534_s_at	73.3	89.8	35.9	41.1	54.1	19.3	42.4	44.3	65
2535_s_at	516.5	611.8	461.1	347.2	582.8	126.9	418.4	524.7	553.8
2536_s_at	337.8	320.1	345.1	270.5	405.8	266.7	230.6	382.9	391
