ID_REF	GSM153907	GSM153909	GSM153911	GSM153913	GSM153915	GSM153908	GSM153910	GSM153912	GSM153914	GSM153916
8606_at	0.263034406	3.087462841	0	0.584962501	1.584962501	0.263034406	2.485426827	0.485426827	-1.736965594	-1.736965594
8607_at	6.378511623	6.721099189	6.346956889	6.312882955	6.426264755	6.289096702	6.565292521	6.441284272	6.307428525	6.300123725
8608_at	5.918863237	6.381975479	6.264911693	5.928370323	5.970393538	6.276124405	6.153805336	6.259272487	6.002252452	6.083213368
8609_at	7.06608919	7.373300197	7.136478518	6.811214118	7.076815597	6.962317655	7.100136671	7.218199944	6.982993575	6.966937979
8610_at	6.572889668	6.696272084	6.589463893	5.8899602	5.984133595	6.636624621	6.483815777	6.62935662	6.325530332	6.383704292
8611_at	6.397460726	5.539158811	5.462706751	5.711494907	6.224966365	6.261154673	5.714245518	5.551516018	5.947198584	6.312882955
8612_at	12.0523303	11.82976237	11.92146906	12.32448998	12.05887115	12.01813062	11.77988347	12.03586443	12.25192616	11.97785231
8613_at	12.04954228	11.882452	11.93542291	12.43512329	12.19050375	12.08377847	11.98758379	12.05863443	12.27711301	12.08011799
8614_at	10.32418055	10.07373991	10.11074429	10.04494049	10.02111879	10.24887634	10.16540952	10.15557722	9.846587336	9.894211462
8615_at	7.111657346	6.908092341	7.01234519	6.397460726	6.388878339	6.616181231	6.937815169	6.82527683	5.689299161	5.949534933
8616_at	8.306061689	8.607330314	8.486633935	7.863566829	7.991521846	8.404715827	8.738430088	8.529430554	7.788555215	8.049304033
8617_at	7.323730338	7.398316163	7.438791853	7.263034406	7.363696745	7.497452696	7.472487771	7.51412226	7.34251919	7.365447589
8618_at	7.499845887	7.803485376	7.693486957	8.120497098	8.103812329	7.485426827	7.427103287	7.347842794	7.902676587	7.92659251
8619_at	1.925999419	3.944858446	3.263034406	3.827819025	4.277984747	3	3.263034406	3.153805336	3.336283388	3.807354922
8620_at	5.520422249	6.006746832	5.749534268	5.83541884	5.632268215	5.730639956	5.949534933	5.968090752	5.760220946	5.605849867
8621_at	9.141085319	9.273795599	9.172427509	9.112960712	9.14822234	9.024862627	9.007027267	9.158609688	9.207746467	9.224001674
8622_at	4.087462841	4.209453366	4.722466024	4.602884409	4.193771743	4.09592442	4.161887682	4.523561956	4.485426827	4.357552005
8623_at	6.022367813	5.87282876	5.711494907	5.452858965	5.083213368	5.711494907	5.572889668	5.817623258	5.426264755	5.700439718
8624_at	8.108524457	7.274261661	7.447909749	7.393175914	7.307428525	8.019590728	7.698357406	7.566815154	7.173926932	7.240314329
8625_at	7.444600814	7.025693274	6.821455119	7.030115331	6.998872454	7.338959175	7.312882955	6.985272714	7.142617655	7.118941073
8626_at	7.086401646	6.459431619	6.439623138	6.268658955	6.525129251	6.862947248	7.151777655	6.62058641	6.509379149	6.464341533
8627_at	7.126188211	6.874059203	6.892391026	6.518849829	6.499845887	6.938991439	7.015693807	6.708739041	6.581953751	6.617651119
8628_at	2	2.321928095	2.807354922	3.070389328	2.678071905	3.017921908	2.201633861	1.432959407	3.121015401	2.5360529
8629_at	9.022922589	8.435878577	8.859845344	8.643495471	8.66106548	8.792139552	8.531771325	8.642051693	8.828136484	9.039741585
8630_at	3.392317423	2.678071905	2.887525271	2.867896464	3.053111336	2.925999419	3.03562391	2.700439718	3.137503524	2.906890596
8631_at	7.644577357	7.324630615	7.420381341	7.453682186	7.568336182	7.345183447	7.339850003	7.368942914	7.273329387	7.44625623
8632_at	6.290940402	6.03562391	6.141596278	5.887525271	5.9795681	6.044394119	6.100136671	6.024585638	5.700439718	5.776103988
8633_at	8.87774425	8.828453874	8.779062689	8.713558356	8.797337288	8.752882366	8.836366009	8.725536678	8.567195561	8.686850653
8634_at	7.636624621	7.454504938	7.484621527	7.451211112	7.573647187	7.46760555	7.425425735	7.572889668	7.29553937	7.362820526
8635_at	7.525129251	7.694183743	7.697662633	7.275193334	7.499048598	7.591709333	7.601399391	7.760886243	7.403438163	7.427941333
8636_at	9.375256688	9.288866074	9.416586438	9.590961241	9.706668682	9.462297766	9.20994068	9.478162893	9.46943832	9.606405213
8637_at	7.593951284	7.381975479	7.593951284	7.289096702	7.218199944	7.570614722	7.459431619	7.443772393	7.417008587	7.371558863
8638_at	6.77478706	6.785288981	6.680886921	6.520422249	6.510961919	6.898450233	6.961160258	6.584962501	6.565292521	6.54225805
8639_at	2.700439718	2.744161096	2.963474124	0.485426827	2.867896464	2.981852653	2.459431619	1.263034406	2.887525271	2.887525271
8640_at	8.502632935	8.459431619	8.319220503	8.602142091	8.634084983	8.461479447	8.491051376	8.343851933	8.435878577	8.378078056
8641_at	7.019034669	6.746850183	6.651051691	6.482202926	6.397460726	6.704595348	6.874059203	6.185866545	6.369815424	6.323730338
8642_at	5.786596362	6.209453366	6.063934306	6.354028938	6.521992956	5.765534746	6.061776198	6.085339669	6.622051819	6.672425342
8643_at	5.197708158	4.944858446	4.972692654	4.472487771	4.781359714	4.921245889	4.986410935	4.87774425	4.608809243	4.716990894
8644_at	4.314696526	3.797012978	4.078951341	3.916476644	3.510961919	3.797012978	4.153805336	3.847996907	3.247927513	3.972692654
8645_at	9.217230716	9.14363831	9.142362379	9.024308597	9.049576317	9.067703244	9.169423979	9.085074053	8.958842675	9.003096215
8646_at	10.36216301	10.29289676	10.24495839	10.34496161	10.33539035	10.16854677	10.28158235	10.12760749	10.10039953	10.07761687
8647_at	7.778734244	7.541483864	7.54303182	7.357552005	7.344295908	7.641690523	7.795065583	7.472487771	7.154818109	7.151777655
8648_at	4.963474124	4.744161096	4.837943242	5.402585758	5.057450272	4.981852653	5.100136671	5.040015679	5.01346226	5.336283388
8649_at	6.020146573	5.791814071	5.845490051	6.123086751	5.719731057	5.799605422	5.708739041	5.807354922	5.744161096	5.680886921
8650_at	7.301953395	7.197708158	7.09592442	7.320123598	7.431288654	7.147713722	6.957682486	6.904484098	7.171927354	7.266786541
8651_at	9.158862106	9.303095762	9.312882955	9.489245876	9.578183968	9.156083076	9.339850003	9.214804795	9.338290694	9.392532094
8652_at	3.201633861	3.44625623	2.925999419	2.807354922	3.232660757	2.584962501	3.5360529	2.827819025	2.655351829	3.419538892
8653_at	6.772149591	6.221103725	6.294620749	6.246027981	6.217230716	6.62497818	6.330916878	6.277984747	6.14974712	6.274261661
8654_at	7.137503524	7.501439145	7.331812684	7.189824559	7.148730779	7.173926932	7.562242424	7.014578465	6.795715007	6.862947248
8655_at	7.776762002	7.855491443	7.762215916	7.417008587	7.304693557	7.965784285	7.842978832	7.656067274	7.300123725	7.323730338
8656_at	6.187846909	6.416164165	6.076815597	5.749534268	5.791814071	6.407692649	6.429615964	6.215290306	5.799605422	5.968090752
8657_at	12.65477027	12.67807191	12.86722081	13.27360622	12.8765745	12.56035672	12.51140676	12.89644594	13.0870484	12.64469001
8658_at	0.584962501	0.485426827	0	0.263034406	0.847996907	0.584962501	0.263034406	-0.736965594	-0.736965594	-1
8659_at	3.392317423	3.432959407	3.10433666	3.121015401	3.121015401	3.378511623	3.472487771	2.807354922	2.700439718	3.070389328
8660_at	10.20615968	10.07307042	10.18003345	9.917521265	9.957972621	10.1895775	10.22255343	10.20102117	9.852685552	9.879736394
8661_at	5.678071905	5.727920455	5.523561956	6.085339669	6.011227255	5.716990894	5.692092375	5.703211467	5.87774425	6.015693807
8662_at	11.46316672	11.50303065	11.509775	11.65033375	11.58350592	11.4738072	11.42605505	11.45409362	11.52772134	11.4655664
8663_at	8.435461914	8.010667963	8.122051448	7.320123598	7.272396509	7.273329387	7.362820526	6.74819285	5.703211467	5.958842675
8664_at	5.951867504	4.94016675	5.346956889	5.958842675	6.118941073	5.412781525	5.165911939	5.350497247	5.986410935	6.09592442
8665_at	8.264911693	8.491051376	8.421644094	8.996897126	9.061506207	8.260213887	8.188341576	8.208478242	8.966072795	9.014299495
