ID_REF	GSM6711	GSM6712	GSM6713	GSM6715	GSM6717	GSM6726	GSM6728	GSM6729	GSM6730	GSM6731	GSM6732
2962_at	5.862947248	6.207502459	5.655351829	6.648177796	5.995484519	6.289096702	5.587964989	5.608809243	6.209453366	6.167919866	6.23457796
2963_at	3.655351829	3.857980995	4.566815154	4.921245889	3.596935142	4.277984747	4.749534268	4.64385619	4.867896464	4.292781749	4.177917792
2964_at	10.65830076	7.54689446	8.960581211	10.65203827	9.015136244	10.60381177	9.372212109	7.906890596	10.72979066	9.990529475	10.19142941
2965_g_at	9.349834091	7.150762744	8.477353527	9.216018265	8.048214385	9.313790025	8.595443985	7.77807713	9.529820947	9.345848744	8.762215916
2966_s_at	10.88096096	8.703557562	9.909443109	10.87352101	10.1204971	10.88157286	9.717676423	9.123086751	10.94214792	9.988542682	10.53867395
2967_s_at	12.11913567	10.02680006	10.48028532	12.16355534	10.30594773	11.99679123	10.56195615	9.811053524	11.9762419	10.84486266	11.72267948
2968_s_at	10.04794184	8.758889433	8.816343705	9.95419631	8.845490051	9.721441019	9.247452865	9.089318057	9.935607074	9.389523792	9.887068264
2969_s_at	11.27827521	10.36238222	10.45460775	11.12676899	10.4324375	10.90162116	10.69835741	10.69913863	11.02084108	10.94661391	11.10387788
2970_s_at	12.02742225	12.23834502	11.97717258	12.09770296	11.82690594	12.23439833	11.93998317	12.29568285	12.12512284	11.71115071	12.12605912
2971_at	2.744161096	4.887525271	4.64385619	1.807354922	2.608809243	5.074676686	5	4.832890014	5.173926932	4.452858965	1.5360529
2972_at	3.5360529	3.981852653	5.247927513	3.307428525	3.666756592	5.587964989	5.303780748	5.244125943	4.867896464	4.357552005	3.776103988
2973_at	2.887525271	2.03562391	1.584962501	3.350497247	0	2.432959407	2.5360529	0.137503524	2.350497247	3.867896464	2.722466024
2974_at	4.193771743	1.263034406	3.689299161	4.371558863	1.722466024	4.232660757	3.459431619	1.070389328	4.285402219	2.632268215	1.263034406
2975_at	3.087462841	4.321928095	4.837943242	5.385431037	4.053111336	4.504620392	4.329123596	4.364572432	4.478971805	4.99095486	4.722466024
2976_at	3.786596362	3.350497247	-0.736965594	4.683696454	3.711494907	4.672425342	4.738767837	5.165911939	4.968090752	4.439623138	3.963474124
2977_at	5.48864354	5.350497247	4.5360529	5.526694846	5.112700133	3.981852653	5.083213368	4.54225805	5.292781749	5.961160258	5.572889668
2978_at	5.197708158	4.638073837	3.944858446	5.426264755	4.485426827	4.977279923	5.185866545	4.672425342	5.251719093	5.602884409	5.057450272
2979_at	-1.321928095	0	-1	0	-1	-0.321928095	2.867896464	2.350497247	-0.514573173	3.017921908	3.321928095
2980_at	0.378511623	1.5360529	3.678071905	4.112700133	0.847996907	2.678071905	0	1.722466024	3.292781749	4.112700133	3.498250868
2981_at	-0.152003093	1.070389328	2.321928095	2.169925001	1.321928095	1.263034406	2.584962501	1.378511623	2.292781749	1.5360529	1.263034406
2982_at	1.201633861	2.40599236	1.765534746	0	3.153805336	3.10433666	2.887525271	0.378511623	3.560714954	0.584962501	2.137503524
2983_at	-1	0.137503524	0	1.807354922	-1	-0.152003093	-1	-0.514573173	0.263034406	1.432959407	0.378511623
2984_at	3.378511623	1.070389328	4.614709844	1.584962501	3.827819025	1.070389328	2.510961919	0.765534746	1.632268215	1.678071905	3.817623258
2985_at	0.485426827	-0.321928095	-0.152003093	0.137503524	1.321928095	0	0.263034406	0	1.137503524	0.925999419	-0.321928095
2986_at	2.5360529	1.963474124	0.263034406	2.906890596	2.510961919	4.364572432	3.64385619	1.632268215	3.765534746	1.887525271	0.925999419
2987_at	4.578938713	4.247927513	4.485426827	4.54225805	4.602884409	4.432959407	4.285402219	3.321928095	4.224966365	5.392317423	4.99095486
2988_at	0.485426827	1.201633861	1.263034406	1	0.678071905	1.584962501	1.201633861	1.070389328	0.765534746	0.765534746	1.321928095
2989_at	3.336283388	4.247927513	4.078951341	4.867896464	4.649615459	4.452858965	3.963474124	4.385431037	4.485426827	4.40599236	4.517275693
2990_g_at	5.897240426	6.050936965	6.037821465	5.768184325	5.963474124	5.781359714	7.290940402	6.087462841	5.925999419	6.373300197	6.059614856
2991_at	5.714245518	4.554588852	5.40599236	4.517275693	5.285402219	5.789207575	5.318316841	4.44625623	5.845490051	4.797012978	5.314696526
2992_g_at	5.240314329	2.232660757	2.655351829	3.678071905	4.285402219	5.303780748	4.137503524	4.716990894	4.906890596	4.061776198	4.026800059
2993_s_at	5.560714954	3.897240426	5.560714954	5.201633861	4.935459748	6.378511623	5.336283388	5.388878339	5.48864354	5.116863758	3.807354922
2994_s_at	4.255500733	3.40599236	4.169925001	4.371558863	4.209453366	3.981852653	3.95419631	4.145677455	4.026800059	4.5360529	3.137503524
2995_s_at	5.371558863	6.026800059	5.346956889	4.99095486	5.680886921	6.151777655	6.061776198	6.006746832	5.145677455	4.744161096	3.608809243
