ID_REF	GSM153627	GSM153628	GSM153631	GSM153632	GSM153633	GSM153634	GSM153629	GSM153630
9160_at	5.9795681	6.183883459	5.956521363	7.526694846	5.510961919	7.581200582	4.626439137	6.395748328
9161_at	6.847996907	6.081083929	6.181897643	7.122051448	6.226893814	8.169423979	6.921245889	5.993221467
9162_at	8.686500527	7.529820947	7.055282436	9.204571144	8.559185866	10.47937609	8.369815424	7.888743249
9163_at	8.777419716	9.704249502	8.244125943	10.08467554	9.544384921	8.637711669	8.435878577	11.09434165
9164_at	6.965784285	8.118941073	7.268658955	8.889656058	7.97384084	8.709773108	6.678071905	8.990387652
9165_at	1.321928095	4.224966365	2.070389328	6.375039431	1.321928095	6.361066489	0.765534746	1.5360529
9166_at	-1.321928095	6.177917792	1.5360529	10.11348173	1.5360529	10.88775372	1.263034406	4.371558863
9167_at	7.815703503	6.414473836	7.993221467	8.04384754	8.590212761	9.098295324	7.242221395	8.634448062
9168_at	7.293701542	6.341630009	6.73470962	6.352264173	7.244125943	5.232660757	6.916476644	7.495055528
9169_at	11.76565905	9.48723711	9.664091678	10.59273733	9.850655676	10.48179943	11.54655689	9.940900834
9170_at	8.517275693	7.46760555	8.111657346	7.609548139	8.487840034	6.729280846	8.103812329	9.651051691
9171_at	8.28077077	5.560714954	6.62058641	6.232660757	7.635173947	6.887525271	8.269594252	6.689299161
9172_at	10.07561285	11.24424489	9.583646945	11.25408378	9.447289901	10.41553052	9.792952934	11.74138271
9173_at	5.62058641	4.700439718	5.925999419	4.263034406	6.189824559	4.529820947	5.757556689	5.510961919
9174_at	9.517078805	8.327328083	7.773468928	8.292321633	8.050936965	6.749534268	9.12593001	9.032321287
9175_at	5.783980414	4.399171094	5.958842675	4.882643049	5.482202926	4.596935142	4.329123596	7.128252152
9176_at	8.722807531	7.318316841	7.517275693	8.533719071	8.07734983	8.319672121	8.464341533	8.427941333
9177_at	10.22857822	9.50957709	9.710806434	10.49964661	10.35667204	10.77930897	10.07908472	10.78308008
9178_at	10.0379587	7.392317423	7.710806434	8.020702204	8.459841417	7.525129251	9.805582668	8.292321633
9179_at	11.63766639	12.4294852	12.28996123	13.25362592	12.562147	13.26357731	11.48557777	13.38760003
9180_at	6.498250868	4.916476644	5.498250868	5.213347282	6.270528942	5.112700133	6.169925001	6.483815777
9181_at	6.197708158	5.004501392	5.799605422	5.201633861	5.832890014	4.112700133	5.977279923	5.50779464
9182_s_at	12.51710342	9.744833837	11.71737654	10.57667329	11.36358725	10.93626986	12.43277676	10.75563871
9183_s_at	13.34426816	10.51333282	12.4339505	11.24365004	12.18725927	11.49450562	13.46529855	11.90395714
9184_at	12.2299904	10.18574268	10.71046207	10.35920049	10.39820926	9.941047606	12.12622048	10.42479615
9185_at	11.0277678	6.577428828	9.310612782	6.765534746	9.314016704	7.135452784	11.05785638	8.363258702
9186_at	5.956521363	1.847996907	5.28169825	3.944858446	5.897240426	4.232660757	5.773468928	5.292781749
9187_i_at	1.378511623	2.201633861	-0.152003093	1.321928095	1.201633861	3.392317423	-1.321928095	3.44625623
9188_at	1	1.847996907	1.137503524	3.744161096	3.10433666	3.217230716	0.925999419	0.765534746
9189_at	8.977566144	6.829088444	8.299208018	8.210914816	8.9489512	8.689648608	9.12541347	8.912589991
9190_at	6.867896464	2.510961919	4.797012978	5.378511623	5.087462841	5.930737338	6.506208389	5.22881869
9191_at	7.682292371	5.224966365	6.407692649	7.168922782	6.829088444	7.425425735	7.830990481	7.566815154
9192_at	0.584962501	-0.736965594	1.070389328	0.765534746	-0.736965594	1.070389328	0.263034406	1.584962501
9193_at	5.694880193	5.209453366	4.852997588	6.804776378	5.61176256	7.795065583	4.995484519	7.939579214
9194_at	8.078951341	3.700439718	6.06608919	6.48703608	7.938403424	6.270528942	8.274261661	7.107478647
9195_at	9.127736444	7.043300754	9.626256598	6.923624611	10.1015818	6.906890596	8.560714954	6.762880293
9196_s_at	1.263034406	7.207502459	8.475733431	9.570424981	8.542644987	9.976134473	5.031218731	8.068778278
9197_s_at	7.704595348	8.044940491	8.115303806	8.03727239	7.339850003	6.783980414	7.129283017	8.102238194
9198_s_at	9.365228849	8.244601688	9.012624539	8.57856139	8.58458675	5.984133595	9.099084761	8.144148367
9199_at	9.917521265	9.390813832	9.534497434	9.918117851	9.676838606	9.15810472	9.593951284	10.02527801
9200_at	9.086932341	8.570614722	8.750539513	8.970681128	9.036173613	8.205548911	9.133655993	9.376993567
9201_at	8.120497098	7.353146825	7.284477118	8.091699834	8.01402047	6.757556689	8.277519887	8.947783026
