ID_REF	GSM29912	GSM29914	GSM29917	GSM29920	GSM29921	GSM29922	GSM225515	GSM225516	GSM225517	GSM225519	GSM225520	GSM225521	GSM29934	GSM29936	GSM29937	GSM225469	GSM225482	GSM225514
10477_g_at	5.259272487	4.426264755	5.040015679	5.532940288	3.867896464	4.705977902	5.141596278	5.274261661	5.209453366	4.791814071	4.916476644	5.364572432	4.177917792	3.185866545	3.277984747	3.632268215	3.523561956	3.786596362
10478_at	7.726558779	7.811214118	7.415319248	6.82527683	6.683696454	6.818901676	10.85844731	11.34551613	10.92288168	6.9795681	6.414473836	6.355791547	7.793765857	7.259272487	7.01346226	5.783980414	5.760220946	5.332707934
10479_at	6.175923742	6.017921908	5.977279923	6.346956889	5.575917361	6.006746832	6.791814071	6.668175869	6.824004051	5.569855608	5.532940288	5.880195729	6.562242424	5.599912842	6.015693807	5.951867504	6.011227255	5.318316841
10480_at	5.8899602	5.402585758	5.988684687	5.692092375	5.053111336	5.646738698	5.145677455	4.968090752	5.224966365	4.781359714	4.44625623	5.121015401	5.193771743	4.439623138	4.649615459	3.972692654	4.958842675	4.426264755
10481_at	7.931328485	7.605109074	7.687200695	8.152791852	7.664625055	8.012903833	7.235535607	7.133399125	7.348728154	7.422064766	8.05853297	7.783325685	7.839833648	6.705977902	7.572889668	6.8008999	7.396604781	6.459431619
10482_at	5.217230716	5.112700133	5.061776198	5.744161096	5.575917361	5.504620392	5.578938713	5.736063628	5.482202926	5.017921908	5.632268215	5.422905743	4.911691582	3.797012978	4.770829046	5.255500733	4.986410935	4.916476644
10483_at	4.292781749	5.048759312	4.649615459	5.48864354	5.145677455	4.972692654	4.329123596	5.255500733	4.87282876	5.44625623	5.137503524	5.545350645	4.760220946	3.201633861	3.711494907	4.263034406	4.459431619	4.292781749
10484_at	2.944858446	2.378511623	2.40599236	3.292781749	2.584962501	3.137503524	2.070389328	2.432959407	3.44625623	3.419538892	3.776103988	3.754887502	2.070389328	0.847996907	0.584962501	2.744161096	2.847996907	2.981852653
10485_at	4.694880193	4.529820947	3.916476644	5.697662633	5.193771743	5.725195817	4.770829046	4.566815154	4.87282876	5.61176256	5.860466259	5.9795681	4.153805336	2.485426827	3.548436625	4.224966365	4.44625623	4.572889668
10486_s_at	-0.321928095	1.137503524	2.292781749	1.847996907	1.847996907	-1.321928095	2.5360529	0.584962501	1.584962501	1.925999419	1.925999419	2.263034406	1.963474124	1.070389328	2.070389328	-1.736965594	1.321928095	-0.736965594
10487_at	5.031218731	4.64385619	5.213347282	5.346956889	5.296457407	4.944858446	5.181897643	5.48864354	4.733354341	4.744161096	5.381975479	4.817623258	4.694880193	3.350497247	5	4.802193217	4.529820947	4.902073579
10488_at	5.914086097	5.928370323	5.700439718	6.589463893	6.707359132	6.699051844	6.303780748	6.145677455	5.711494907	5.928370323	6.608809243	6.483815777	5.566815154	4.472487771	5.5360529	6.165911939	6.434628228	6.09592442
10489_at	5.070389328	4.882643049	5.339850003	5.303780748	5.459431619	5.554588852	6.217230716	5.475733431	6.205548911	5.137503524	4.99095486	5.332707934	4.812498225	4.350497247	4.666756592	5.03562391	5.083213368	4.452858965
10490_at	8.219652565	7.970393538	8.34739991	7.648896806	7.232660757	7.638073837	7.917073663	7.868513924	7.77939106	7.00337736	7.470862199	7.177917792	7.36719631	6.95070169	7.267723052	7.10433666	7.377644358	6.794415866
10491_at	8.507398241	8.642051693	8.332260378	7.822092774	7.398316163	7.705977902	7.404290064	7.712870868	7.577428828	7.296457407	7.851124363	7.508587112	7.8008999	7.635173947	7.762880293	7.173926932	7.661778098	7.126188211
10492_at	8.946613905	9.250772132	9.0452136	7.733354341	7.575917361	8.263973355	8.618385502	9.597866334	8.544191698	7.368069877	7.6395216	7.77478706	7.510961919	7.616916363	7.168922782	6.238404739	6.916476644	5.977279923
10493_at	8.799929151	9.067434361	8.707013948	8.882031608	9.370687407	8.76586621	8.962896005	9.031218731	9.156083076	8.918863237	9.166414183	9.190812368	8.575917361	7.854245054	8.744161096	9.117123586	9.079484784	9.364572432
10494_at	9.146950459	9.342296946	8.745842363	8.800576389	9.14542272	9.150255021	9.211401637	9.551708262	9.745001974	9.294850459	9.477353527	9.482202926	8.824322351	8.747521673	9.100925101	9.178166855	9.366759328	9.111657346
10495_at	6.338067798	6.123086751	6.177917792	6.183883459	6.316507819	6.163901214	6.173926932	6.139551352	6.223036338	5.783980414	6.100136671	5.916476644	6.118941073	5.251719093	5.882643049	6.312882955	6.063934306	6.207502459
10496_at	7.894817763	7.817623258	7.671717965	8.000563443	8.298749947	8.000563443	8.499048598	7.815063017	8.328226119	7.696272084	8.338959175	8.143128073	6.678071905	5.916476644	6.676662335	7.372429792	7.483009577	7.427103287
10497_at	6.94016675	7.21916852	6.719731057	6.690696444	6.575917361	6.553053253	6.727920455	6.829088444	6.974988112	6.635173947	6.559185866	6.712870868	6.813781191	6.22881869	6.376776572	6.841721581	6.715618859	6.87036472
10498_at	3.121015401	3.10433666	3.350497247	3	2.906890596	2.608809243	2.584962501	3.169925001	3.95419631	3.485426827	3.432959407	3.378511623	2.560714954	2.906890596	2.378511623	3.378511623	2.981852653	4.078951341
10499_at	8.374170076	8.760220946	8.571752644	8.659639187	8.887525271	8.778405724	8.505017556	8.343851933	8.542644987	8.653561662	8.729280846	8.670656249	8.593204354	8.34251919	8.642051693	8.870056418	8.708049252	8.911991114
10500_at	7.428778891	7.416164165	7.765534746	5.986410935	6.116863758	5.995484519	8.017365205	7.822092774	7.554588852	5.692092375	5.892391026	6.074676686	5.749534268	4.738767837	5.145677455	5.201633861	5.165911939	5.008988783
10501_at	7.325530332	7.839833648	7.964052011	6.584962501	6.093813673	6.449561375	5.937815169	6.320123598	5.669593751	5.526694846	5.852997588	5.51412226	5.958842675	5.141596278	5.354028938	4.300123725	3.963474124	4.300123725
10502_at	6.303780748	6.147713722	6.224966365	7.085339669	6.613236955	6.970393538	6.491853096	6.820178962	6.255500733	6.903279342	7.04220656	6.758889433	5.605849867	4.432959407	4.99095486	5.501439145	5.705977902	5.683696454
10503_at	5.189824559	5.217230716	5.539158811	5.812498225	5.705977902	5.799605422	6.125155131	6.485426827	6.159871337	6.141596278	6.329123596	6.224966365	4.930737338	4.112700133	4.94016675	6.563768278	6.024585638	5.692092375
10504_at	4.459431619	4.129283017	3.897240426	4.321928095	4.232660757	4.255500733	4.666756592	4.026800059	4.452858965	4.129283017	4.247927513	4.161887682	4	2.700439718	3.95419631	4.277984747	4.232660757	4.827819025
10505_at	8.031770114	8.505414609	7.616916363	8.850499414	8.824640581	8.886915896	8.658925511	8.892087397	8.626074036	8.795715007	9.241268177	9.269126679	8.862327401	8.949826711	9.049304033	9.486432821	9.738767837	9.708049252
10506_at	8.547280156	8.363696745	8.140062856	7.36018867	8.231701199	7.95011843	7.329123596	7.707359132	7.336283388	7.572131751	7.802193217	7.345183447	8.375908263	8.467197952	7.797012978	8.352264173	8.793115555	8.356231863
10507_at	6.416164165	7.178913785	6.161887682	7.189824559	7.181897643	7.117902789	7.187846909	6.97384084	6.958842675	6.908092341	7.21042783	6.842978832	6.45779126	4.935459748	6.131342539	6.439623138	6.303780748	6.553053253
10508_at	5.292781749	5.044394119	4.716990894	5.526694846	5.995484519	5.711494907	5.125155131	5.575917361	4.478971805	5.762880293	5.865423978	5.48864354	4.911691582	2.906890596	5.01346226	5.026800059	4.802193217	5.083213368
10509_at	5.649615459	4.791814071	5.205548911	5.325530332	4.832890014	5.026800059	5.678071905	5.510961919	5.875288598	5.247927513	5.539158811	5.185866545	5.504620392	4.638073837	4.608809243	5.266786541	4.744161096	5.074676686
10510_at	7.358431429	7.415319248	7.047669251	7.654636029	7.535275377	7.501439145	7.474111514	7.373300197	7.499048598	7.378511623	7.749534268	7.6574971	6.811214118	7.207502459	6.927185358	7.460251099	7.582706527	7.514911265
10511_at	9.234338449	9.041659152	8.770829046	11.5811535	11.38289417	11.53157641	7.894211462	7.403438163	7.93191939	11.55194853	11.39237109	11.65114141	7.427103287	7.139551352	6.596935142	5.523561956	5.523561956	5.708739041
10512_at	4.285402219	3.121015401	4.03562391	4.307428525	4.465974465	3.95419631	4.700439718	5.193771743	4.217230716	4.87774425	4.392317423	4.649615459	3.867896464	4.026800059	4.439623138	3.867896464	4.548436625	4.852997588
10513_at	1.485426827	-0.514573173	1.5360529	2.40599236	1.263034406	1.678071905	2.459431619	2.744161096	2.925999419	1.632268215	3.053111336	2.925999419	2.070389328	0.485426827	2	2.765534746	3.378511623	2.201633861
