ID_REF	GSM211831	GSM211832	GSM211833	GSM211834	GSM211835	GSM211836	GSM211837	GSM211838	GSM211839	GSM211840	GSM211841	GSM211842	GSM211843	GSM211844	GSM211845	GSM211846	GSM211847	GSM211848	GSM211849	GSM211850	GSM211851
10734_at	6.21415	5.41495	6.09467	5.2899	5.03228	4.8219	4.60285	4.79889	4.39905	4.40394	4.56298	4.57972	4.72973	4.68146	4.71268	5.25124	5.10528	5.05632	5.61994	5.88803	5.64943
10735_at	7.69791	7.79732	7.44242	8.17639	7.7479	7.63455	7.24325	7.51493	7.98695	8.11336	8.02528	8.21338	7.73647	7.90661	7.90319	7.58976	7.35685	7.99648	7.06171	7.52957	7.37374
10736_at	7.71768	7.65829	7.61072	7.78867	7.82388	7.713	7.88001	7.78746	7.82183	8.1896	8.50631	8.39489	8.55934	8.38638	8.24226	8.6538	8.03363	7.97194	7.2663	7.66669	7.34594
10737_at	11.5005	11.4978	11.499	10.4398	10.3121	10.2644	10.8199	10.795	10.5562	10.443	10.5958	10.144	9.78035	9.73881	10.0335	9.7012	9.84954	9.94955	10.3252	9.20722	9.7734
10738_i_at	12.7603	12.845	13.0463	12.656	12.3829	12.5339	12.7475	12.7296	12.4963	12.3785	12.4079	12.2397	11.6262	11.8929	11.5234	11.1871	11.5853	11.1449	9.77793	9.60886	9.59413
10739_f_at	11.8909	11.8219	11.8382	11.4002	11.0936	11.0978	10.7614	11.1528	11.6057	10.8084	10.8277	11.2864	9.8703	9.68802	10.2292	8.87196	9.77239	10.121	8.93878	9.01882	9.35774
10740_at	6.53047	6.3668	6.3256	7.28312	7.18984	7.16202	8.05742	7.84748	7.65364	7.35721	7.60918	6.87488	7.09659	7.29113	6.88273	6.76866	6.95889	6.49267	6.64637	6.87138	6.29114
10741_at	4.73812	4.77185	4.38691	3.83175	4.13076	3.94019	4.07745	3.99305	4.50043	3.81332	4.17121	4.27128	4.31287	4.22465	4.51925	4.1759	4.46247	4.57949	4.11361	4.07504	3.86614
10742_at	5.34921	5.47936	5.25535	4.9883	5.16866	4.83396	4.99007	4.7398	5.39911	4.87561	5.06091	4.96531	5.13079	4.87384	5.17336	5.08383	5.54452	5.26177	4.99291	5.02705	4.9933
10743_at	6.67672	6.64429	6.98311	5.53211	5.77699	5.91636	5.99335	5.77815	5.59263	6.03467	5.87365	5.81181	6.35223	6.09053	6.14042	6.05216	6.19953	6.69472	6.61804	6.30244	6.61331
10744_at	9.25078	9.12756	9.45775	8.15595	8.10666	8.1668	8.00037	8.24032	8.11188	8.68808	8.60167	8.42641	8.80604	8.67688	8.69519	8.83402	8.7498	9.03124	9.49371	9.59382	9.25672
10745_at	7.18891	7.20889	7.11769	6.04011	6.20091	6.0921	6.45925	6.37321	6.96633	6.58731	6.81577	6.82658	7.0352	6.82649	6.56889	6.78604	6.4062	6.78115	5.44479	6.33158	6.07082
10746_at	5.90909	5.81061	5.99982	4.98583	4.91417	4.95411	5.11121	5.16053	5.36093	5.19807	5.25219	4.94037	5.3149	5.46827	4.97703	5.15252	5.14242	5.14136	4.57737	5.27092	4.56518
10747_at	9.6649	9.48018	9.32859	8.54365	7.18134	7.37848	8.09587	8.157	8.08005	7.23541	7.42198	6.82584	7.2998	7.58646	6.72146	7.33814	6.1833	5.80053	5.88785	6.20513	5.83103
10748_at	5.7294	5.37557	5.8561	5.87325	6.16677	5.90331	5.91646	6.06942	5.38452	6.36265	6.34809	6.24567	6.88941	6.92447	6.59898	7.22647	7.1073	6.90491	7.99324	8.36297	7.55643
10749_at	8.26496	8.36985	8.32821	8.06609	8.05591	7.88945	8.03277	8.10813	8.13916	8.73039	8.92931	8.6679	8.68264	8.77986	8.42207	8.06783	7.9473	7.95538	6.91762	7.28728	6.86675
10750_at	5.84794	5.94441	6.49978	6.37385	6.47327	5.90199	6.51824	6.77783	5.66826	5.91994	6.63639	6.51187	6.83403	6.69392	6.26537	5.99793	6.28448	5.59235	5.76314	6.15478	5.59326
10751_at	4.87158	4.32125	4.975	5.29792	5.84177	5.55113	5.45166	5.66473	5.27488	5.69624	5.75637	5.96476	6.21945	6.04197	6.15566	6.08611	5.92875	6.13462	5.52182	5.87626	5.57185
10752_at	8.68336	8.78249	8.54535	8.25571	8.0592	8.1087	7.69431	7.8176	7.57089	8.61865	8.43586	8.31078	8.49201	8.72692	8.50527	8.79525	8.87009	8.7875	8.21982	8.56042	7.95011
10753_at	7.26978	6.96072	7.83541	6.53652	6.61982	6.36385	6.93863	6.8187	6.59278	7.0852	7.03487	6.31751	7.22803	7.35996	6.64667	7.84236	6.86354	6.58608	6.22095	6.11733	5.69732
10754_at	7.43126	7.38584	7.79999	8.71358	8.79258	8.96153	9.06478	9.08588	8.55964	8.59726	8.64632	8.39534	8.31795	8.25126	8.00984	7.97619	7.96093	7.78583	8.19967	8.39866	8.09202
10755_at	6.31658	6.60311	6.61996	7.76693	9.95934	9.63906	9.79813	9.9502	9.16267	9.62946	9.38599	9.42325	8.88682	8.64928	9.19338	7.82996	7.56479	7.87781	8.29321	8.21294	8.27933
10756_at	6.84777	7.18686	5.86938	8.77468	10.5795	10.5387	9.47117	8.87287	9.18798	10.1363	9.89803	10.3009	11.0892	10.4289	11.355	11.0928	10.8807	11.5062	10.988	11.2283	11.2922
10757_at	4.54669	4.34163	4.56922	4.3816	4.32985	4.23189	4.46201	4.08069	4.66102	4.78134	4.70815	4.64901	4.85546	4.92057	4.97366	4.55822	4.77133	5.22665	4.36903	4.77103	4.55812
10758_at	4.3365	4.24689	4.73302	4.6514	5.5451	5.63695	4.96494	5.01338	5.38971	4.7098	4.81865	4.90848	4.5736	4.37734	4.69125	4.26845	4.47515	4.63081	4.36745	4.32746	4.43338
10759_at	9.22015	9.39838	8.9502	8.94916	8.63733	8.37693	8.91242	8.80656	9.5928	8.94223	9.04486	9.05643	8.68752	8.60633	8.61554	8.85864	8.35064	7.95988	7.705	7.67281	7.48441
10760_at	7.75161	7.67458	7.71389	7.51021	7.44755	7.2989	6.9501	7.25721	7.41623	7.35529	7.21563	7.30398	7.13578	7.37031	6.99356	7.21684	7.10937	7.1619	6.62351	7.08719	6.6493
10761_at	7.1876	6.79617	8.10824	6.65826	6.10484	6.06517	5.92779	6.25773	5.72103	5.58411	5.65499	5.69659	5.64767	5.90036	5.58128	5.19936	5.54464	5.13634	5.7093	5.68448	5.31601
10762_at	7.14848	7.05265	7.90778	8.52701	8.23707	8.04539	8.36397	8.38803	7.50562	7.96	7.94922	7.82212	8.08098	8.18898	7.78178	7.83756	7.72169	7.12484	7.17355	7.78086	7.0034
10763_at	5.59764	4.86436	6.47617	5.72668	5.67975	5.84251	5.79962	5.80009	5.90916	5.65052	5.63927	5.67629	5.77775	5.72075	5.45312	6.0876	5.62617	5.93104	8.46673	7.87929	8.00527
10764_at	5.22804	5.01437	5.82441	5.94915	6.15986	5.71363	6.11687	6.28859	6.18617	5.97784	6.02712	6.58693	6.01462	6.56781	6.33	6.01804	6.49218	6.13197	6.45029	7.12121	6.54235
10765_at	4.89731	4.48858	5.29841	6.27196	6.16641	6.22348	5.95033	5.9557	5.85268	5.89187	5.67478	5.95046	5.78708	6.0991	5.89707	5.56163	5.82559	5.74389	5.34586	5.46515	5.33898
10766_at	9.65783	9.81175	9.40249	10.1229	9.95276	9.72504	9.94716	9.80176	10.054	9.79102	9.79199	9.97361	10.0157	10.0191	9.96259	10.5591	9.76748	10.234	9.66839	9.73159	9.61672
10767_at	6.82	6.75446	6.42254	8.06417	7.95332	7.61022	8.22129	8.10345	7.63631	8.59977	8.76853	8.22954	8.72346	8.83359	8.51058	9.15784	8.32979	8.22758	8.54543	8.74002	8.06048
10768_at	4.6732	3.73287	4.61445	5.65156	5.92213	5.65718	5.72806	5.70021	5.33019	6.64301	6.61221	6.22125	7.16998	7.06465	6.84941	6.89764	6.64891	6.91984	5.36177	5.34222	4.98388
