ID_REF	GSM6711	GSM6712	GSM6713	GSM6715	GSM6717	GSM6726	GSM6728	GSM6729	GSM6730	GSM6731	GSM6732
7846_at	261	332.2	196.4	324.5	451.2	326.2	621.8	327.2	787.7	713.4	638.5
7847_at	77	120.1	102.3	219.6	180.1	140.7	202.4	146.1	172.6	1130.7	1037.4
7848_at	939.4	1293.5	801.1	1192.8	1151.2	755.8	879.6	516.4	1332.2	877.8	1011.6
7849_at	388.1	448.6	370.1	289.8	383.4	383.1	482.2	480.6	376.2	305.2	242.6
7850_at	235.8	293.4	359.7	208.8	249.2	232.7	310.3	267.2	274.2	234	172.5
7851_at	204	229.8	231.8	259.6	248.8	209.7	221.6	234.1	278.1	244	185.1
7852_at	103.8	137.4	120.9	102.4	158.3	81.9	119.9	146.6	166	164.7	154
7853_at	318.5	337	306.2	271.3	317.1	238.8	311.2	356.6	328.6	304.2	247.2
7854_i_at	898.3	914.4	1271.1	1034.8	1098.6	1008.1	1370.7	1446	1000.8	1154.1	992
7855_f_at	2534.8	2308.3	2817.9	2653.2	2599	2311.8	2845.4	3129	2316.9	2742.7	2234.6
7856_at	25.3	21.9	26	31.5	21.9	19	20.7	22.6	26	24	33.3
7857_at	41.8	39.5	22.2	64.9	40	24.1	24.3	26.3	51.1	86	93.2
7858_at	190.5	285.3	161.1	198.7	293.8	136.7	203.6	260.1	204.4	210.1	173.5
7859_at	0.5	0.5	0.9	1.7	8	8.6	0.8	2.4	0.4	0.5	0.6
7860_at	125.1	155.5	134.4	201.5	183.3	150.1	122.9	180.1	197.9	175.3	192.4
7861_at	54.7	58	55.1	46.5	43.5	39.2	41.1	32.5	64.2	65.2	60.6
7862_at	119.5	121.3	95.3	93	105.6	91	96.7	113.1	90.4	119.8	124.1
7863_at	523.8	743.9	518.7	424.6	554	654.8	599.1	630.3	473	526.6	430
7864_at	77.6	70	74.3	84.4	65.5	85.1	67.1	119.4	75.9	113	117.5
7865_at	568.6	556.9	622.1	633.9	510.7	505.3	565.6	629.8	612.9	702.2	650.6
7866_at	43.5	111.3	99.6	47.4	137.7	64.3	45.5	69	99	23.3	30.3
7867_at	23.3	34.2	25.7	19.8	23.7	26	10.7	12.4	22.8	41.6	51.3
7868_at	274.7	306.6	339.8	300.5	289.8	238.8	201.3	323.3	233.3	286.6	375.4
7869_at	1520.2	1622.7	1980.4	2470.4	2697.5	2870.8	1736.3	1695.4	2349.1	2355.1	2657.9
7870_at	243.1	267.1	310.1	253.6	248.4	210.5	238.8	204	224.6	528.8	489.5
7871_at	81.3	79.7	47.2	58.2	76	36.1	66.1	44.3	87.2	73.8	114
7872_at	75.6	81.4	142.4	60.8	95.5	88.7	89.3	115.6	89.4	84.9	62.8
7873_at	77.4	100.1	89.7	90.7	108.5	85.6	84.5	94.5	111.6	133.6	108.7
7874_at	3253.2	2301.5	3384.5	3084	3084	4113.2	3547.8	4312.8	3720.9	2997.5	3106.1
7875_at	216.1	316.1	254.7	226.5	261.7	270.7	272.3	287.4	313.5	252.9	226.2
7876_at	166	192.3	167.7	138.7	122.7	111.5	145.8	165.5	144.1	171.9	181.8
7877_at	241.9	212.4	235.2	264.8	203.2	177.7	192.9	169.4	269.2	207.6	206.7
7878_at	33.6	39.7	40.1	46.7	48.2	53.5	35	32	49.9	46.1	54.3
7879_at	101.7	171.4	147.5	83.1	148.7	149.4	189.6	167.1	90.4	114	52
7880_at	1227.6	1488.7	1260.1	1027.8	1359.6	1003.2	1103.6	1082.6	1066.4	1026.5	1067.6
7881_at	807	825	981.6	883.6	765.4	727.4	572.9	671.7	781.2	786.9	924
7882_f_at	7572.8	6206.3	8426.1	6930.1	7213.1	7012	7859.8	8369	7623	6870.9	6844.2
7883_at	48.1	32.9	89.8	47	34.2	113.4	67.2	84.3	66	37	33
7884_at	172.7	144.7	152.5	138.2	140.5	157.2	137.3	188.2	176.7	207.2	168.9
7885_at	68.6	61.5	77.3	41.3	61.7	62.7	68.1	88	104.7	62.6	81
7886_at	71.1	67.6	68.9	42	56.4	56.6	71.7	72.5	80.8	62.1	62.4
7887_at	101.8	121.6	112	100.6	120.4	94.6	102.1	147	133.5	127.8	112.3
7888_at	395.9	478.2	466.3	339.8	360.1	397.2	293.5	363.6	400.1	247.1	300.3
7889_at	5.7	13.5	19.7	6	5.7	5.7	3	18	5.5	5	4.6
7890_at	1495.1	1489.2	1442.3	1195.2	1421.3	1078.6	643.9	667.6	1091.3	1131.9	1508.7
7891_at	175	159.5	124.4	197.8	208.4	157.8	144	148.2	152.8	171.1	229.7
7892_at	151.4	163.9	166.4	148.2	173.6	154.9	166.7	181.8	230.9	143.6	167.9
7893_at	243.9	273.7	221.7	224.9	229.1	181.4	180.2	176.1	217.6	185.5	214
7894_at	12603.9	10834.5	13045.1	11993.5	12165.3	13773.6	11274.7	12260.3	11164.4	10620.6	11540.1
7895_at	21.6	22.2	28	29.5	28.5	34.8	19.6	46.1	23.4	28.3	17.6
7896_at	499.8	414.7	491.6	385.1	469.9	381	438.4	532.9	467.5	571.6	427
7897_at	545	553	441.5	498.6	577	429.7	413.3	484.7	453.4	432.2	435
7898_at	838	854.8	645.9	852.2	724.8	503	519.2	515.7	591	469.6	553.5
7899_at	357.9	349.3	449.6	327.7	428.8	367.3	599	529.3	394.3	448.1	278.5
7900_at	214	201	228.7	147.1	187.4	119.8	230.1	236.5	182.2	241.7	249.7
7901_at	53.3	67.7	72	52.1	55.1	43.3	37.7	102.3	70	50.5	31.4
7902_at	32.2	16.6	23.7	27	20.4	10.1	24	41.6	26.9	29.9	31.9
7903_at	63.7	50.1	61.1	43.9	37.1	56.3	44.4	58.5	68.8	70.8	64.9
7904_at	15	11.9	14.8	10.9	13.3	4.3	9	11.6	24.5	12.4	24.2
7905_at	1.6	2.1	1	1	3.5	0.7	1.7	1	1.3	0.9	2.1
7906_at	103.3	69.4	72.9	119.5	53.7	120.8	127.1	142.2	189.5	153.1	158.2
7907_at	3256	3509.1	2709.8	3556.4	3506.1	2745.3	2240.3	2527.5	2568.3	5226.8	5550
7908_at	164.3	134.6	122	114.4	141.2	97	121.9	101.4	120.9	116.8	110.9
7909_at	110.2	115.7	121.8	108.9	134.4	96.2	131.4	181.4	137.6	195.9	194.1
7910_at	1244.2	1137.7	1189.1	1137.4	1321.7	1080.6	1329.6	1404.4	1191.5	943.7	879.8
7911_at	307.9	300.8	225.4	282.4	420.3	131.1	266.7	214.5	287.1	435.4	467.6
7912_at	525.2	501.4	501.3	445	448.5	593.3	433.4	499.1	390.4	504.1	372.3
7913_at	142.5	181.2	178.8	117.7	191.9	143.7	202.1	240.6	150.9	193.4	125.1
7914_at	208.7	180.2	168.4	188.5	229.5	164.8	284.4	161.5	385.3	515.3	532
7915_at	118.6	139	139.6	141.6	107.9	113.6	130.1	149.4	121.8	153.1	175.9
7916_at	6050.9	6450.5	5425.1	6726	6338.5	5120.2	4323.3	2803.7	4247.8	6431.1	6696.7
7917_at	49.6	62.7	46.7	52.7	57.7	60.7	38.1	63.2	56.3	65.5	53.6
7918_at	106.5	108.3	105	96.8	92	85.6	71.7	97.2	115.7	130.4	151
7919_at	91.7	100.3	91	84.5	88.4	79.6	99.3	118.9	83.3	121	79.4
7920_at	85.7	82	78.7	80.1	59.7	96.5	94.4	91.3	76.2	111.2	94
7921_at	256	326.1	266.7	216	271.1	284	425.8	280.8	383.3	465	434.6
7922_at	47.5	60.7	72.2	50.5	55	51.3	61.4	80	81.3	114.6	135.1
7923_at	24.4	19.3	20.3	16.6	25.4	27.6	35.9	31.4	39.3	35.6	31.3
7924_at	263	230.6	198.5	224.3	286.4	192.4	242.8	207.8	244.2	232.7	230.1
7925_at	26.5	50.3	30	38.3	39.4	46.9	41.2	45.7	48.8	30.7	24.7
7926_at	227.1	232.5	207.5	294.2	272.3	207.8	226.9	269.1	226.3	274.2	340.4
7927_at	91.7	88.3	74	112.1	106.8	108.5	79.1	88.5	86.3	87.9	72.3
7928_at	28.5	40.4	12.1	14.9	27.5	13.6	19.4	14.5	43.8	23.3	27.5
7929_at	2.2	9	15.2	1.9	3	2.6	9.2	2.9	2.5	5.8	24.3
7930_at	334.5	412.1	313.8	420.7	375	285.7	292.2	330.4	302.7	450.1	390.8
7931_at	974.1	1321.3	935.9	842.6	773.6	555.4	722.9	627.4	655.4	972.3	1219
7932_at	608.1	621.6	728.5	372.1	470.2	566.1	734.1	807	489.2	581.8	404.1
7933_at	69.5	63	82.7	56.7	40.7	52.3	50.8	53.4	60.1	51	46.4
7934_at	55.4	59.7	63.8	38.7	70.5	64.8	78	85.1	74.3	81.2	43.3
7935_at	396.5	357.9	410	330.9	361.1	356.9	359.8	368.9	398.3	389	342.8
7936_at	551.4	628.8	480.3	409.6	540.6	427.7	460.4	509.5	467.8	620.4	593.6
7937_at	797	810.3	841	755.8	802.6	781.3	945.2	913.4	810.9	907.9	815.9
