ID_REF	GSM140786	GSM140800	GSM140801	GSM140802	GSM140803	GSM140804
7999_at	1003.5	1760	469.2	1123.1	2175.6	1981.2
8000_i_at	15226.8	14466	10820.2	13518.7	14316.3	9866.2
8001_at	651	457.3	804.4	894.7	546.5	853.6
8002_at	99.2	174	141.5	168.4	179.8	150.1
8003_at	534.9	1921.5	510.1	599.1	2032.1	775.8
8004_at	2428.5	2950.8	3070.4	2299.6	3390.2	3488.6
8005_at	1353.2	1277.5	1437.9	1330.8	1489.6	1618.1
8006_at	2370.6	1879.3	2324.2	2092.9	1661.8	2490
8007_at	1066.5	1083.9	1340.4	1232	932.9	1174
8008_at	231.4	531.6	583.8	287.5	483.3	596.6
8009_at	402.8	333.6	301	351.4	366.3	368.5
8010_i_at	14643.3	9201.6	15846.8	15263.5	12469.6	15242.2
8011_at	9825.5	6169	7587.8	7811.8	4792.3	5930.3
8012_at	104.9	145.1	91.9	66.2	278.9	184.2
8013_at	3736.9	4950.1	3976.3	2729.9	4936.3	3695.9
8014_at	123.6	166.6	101	83.7	144.3	134.8
8015_at	5362.6	5341.4	5872.7	4572.8	5587.3	5549.5
8016_at	50.1	52.9	52	171.4	74.3	75.2
8017_at	551.7	460.7	395.8	597	369.7	590.2
8018_i_at	231.4	184.6	232.2	137.8	184.3	405.1
8019_s_at	432.4	198.4	285.8	164.8	266.3	578.2
8020_s_at	4.7	4.3	17.2	12.1	18.1	23.7
8021_at	835.4	2740.3	1954.7	1181.1	1782.7	1708.9
8022_at	5929.3	5880.2	4076	2629.1	6261.5	4806.9
8023_at	252.6	168.8	244.5	333.5	159.6	183.9
8024_at	9808.3	6427.8	7580.7	9149.4	7101.1	6923.9
8025_at	2851.7	1907.8	2677.6	1936.2	1000.7	979.6
8026_at	125.5	130.2	91.8	93.2	140.8	120.4
8027_at	1957.2	1453.6	1650.9	1724.4	903.8	1631.7
8028_at	1026.9	684.8	1505.7	796	461.3	1314.8
8029_at	5217.7	4626.8	4363.6	4139.6	3648.9	3516.1
8030_at	396.1	813.3	409.8	142.8	318.9	594.2
8031_at	570	443.8	959.4	453	529.4	1034.6
8032_at	709.6	412	628.7	322.3	337	650.9
8033_at	13281.7	8395.2	8563.5	13810.3	9971.9	9898.1
8034_at	24.8	7.8	39.4	28.6	2.1	2.6
8035_at	1902.3	2052.7	1858.5	2192.7	1521.8	2382.4
8036_at	141.5	291.1	213.7	125.3	140.1	277.9
8037_at	754	531.4	582.1	1112.9	487.3	803.1
8038_at	74.8	153	42.9	100.7	110.8	98.6
8039_at	113.7	68.8	49.3	119.5	48	32.1
8040_at	1328.9	1168	792.9	2343.8	1380.5	1017.8
8041_at	1030	847.4	1243.3	719.5	789.1	1062.1
8042_at	218.7	107.8	205.8	312.2	184.3	217.1
8043_at	34.9	23.6	35.3	49.8	39	32.3
8044_at	2994.7	1554.3	1081.4	1761.1	1639.6	1347.4
8045_at	281.3	230.3	255.8	495.5	191.9	197.7
8046_at	23.8	11.5	6.1	6.6	5	31.3
8047_at	32.4	63	62.7	45	53.1	87.7
8048_at	580.5	172.6	382.9	670.2	190.8	541.9
8049_at	32.5	22.7	25.8	31.6	16.1	29.7
8050_at	35.5	33.7	22	36.4	34.5	42.7
8051_i_at	2.5	0.5	6.7	1.1	0.3	1.2
8052_r_at	23.8	30.5	23.3	14.5	20.6	20.9
8053_at	59.5	70.6	60.5	43.4	45	61
8054_at	206.7	142.9	193.9	162.4	119.9	156.6
8055_i_at	0.7	0.5	5.1	0.7	1.5	3.8
8056_at	329.6	336.1	185.8	186.4	261.8	106.8
8057_i_at	70.3	59.9	84	122.4	54	121.3
8058_r_at	71	32.3	117.8	94	41.5	180.9
8059_at	135	159	78.1	139.8	131.2	118.9
8060_at	128.7	119.3	83.5	143.6	119	90.9
8061_at	57	37.5	37.2	80.6	44.8	29.4
8062_at	268.9	453.3	261.6	228.9	444.4	210.2
8063_at	236.4	137.1	210.3	482.2	148.5	328.1
8064_at	646.5	526.5	181.2	943.3	302.3	193.7
8065_at	1.6	9.6	1.3	7.2	7.6	0.9
8066_at	974.7	749.7	699.1	987	463.2	517.2
8067_i_at	273.2	514.1	497.1	342.7	1319.8	2277.2
8068_at	18.5	8.6	9	6.6	1.1	1.4
8069_at	7.2	29	20.4	28.4	8.4	7.4
8070_at	39.4	22.5	23.4	52.3	14.8	16.7
8071_f_at	15	28	18	20.8	25	37.4
8072_i_at	39.9	56.9	37	72.1	55.8	66.5
8073_f_at	38	141.1	43.6	120.7	101.5	85.5
8074_s_at	183.1	177	181	172.5	268.8	402
8075_s_at	134.4	422.7	160.2	281.1	438.9	180.8
8076_at	34.6	20.8	23.7	70.2	15.4	21.1
8077_at	4.8	4.5	2.3	20.1	1.3	2.8
8078_at	31.2	19.5	22.9	50.4	48.7	30.6
8079_s_at	135.1	49.2	86.8	254	53.7	101.2
8080_at	562	263.5	591	963.8	265.4	655.4
