ID_REF	GSM94555	GSM94587	GSM94589	GSM94590	GSM94403	GSM94538	GSM94539	GSM94540	GSM94591	GSM94592	GSM94593	GSM94594	GSM94595	GSM94596
8321_at	6639.5	6649.3	6111.8	6368.8	5877.2	6065.4	6504.4	6005.6	6176.2	7225.7	5851.3	5370.8	6618.7	5505.2
8322_at	236.7	247.1	240.4	470	233.9	348.2	300.3	362.1	276.8	247.4	240.6	156.8	242.1	273.1
8323_at	5076.4	6261.7	4688.7	4710.7	3574.5	3655.8	2883.3	3529	5906.9	5222.3	3530.1	1235.5	1328.5	955.4
8324_at	294.3	279.8	353	306.4	280	288.2	348.6	284.8	369.7	340.3	288.4	224.8	220.2	194.8
8325_at	5.2	23.3	16.6	7.2	144.4	182	142.5	145.5	105.4	87.8	83.2	201.8	203.6	186.4
8326_at	1694.8	2392.8	2077.4	1773	2239.9	1980.8	2182.2	2099.7	1541.3	1434.6	1505.6	1095.9	828.8	1206.5
8327_at	1721.8	2207.6	1565.2	1970.8	1940.6	1911.4	1297.9	1835	1964.3	1954	1078.8	1019.9	1067.9	723.4
8328_at	837.3	969.1	1029.6	1235	1005.8	1052.5	1082.7	892.7	1135.4	1240.4	764	452.9	538.9	589.6
8329_at	345	266.5	248.5	280.8	369.7	348.8	334.7	325.5	463.4	318	180.7	297.3	289.5	167.1
8330_at	1867.3	1764.3	2023.7	1810.7	1663.4	1700.4	993.7	1409.7	1222.4	1349.9	1257.3	1229.6	1208.6	1049.6
8331_at	3409.8	4173.4	5449.6	2564.3	3087.8	2937.6	2460.9	2795.8	1515.7	1621.9	3697.2	1722	1075.7	1737.8
8332_at	1289.4	1532.4	1521.5	1339.6	1441.3	1818.4	859.3	1256.4	756.8	972.1	850.9	875	661.9	793.1
8333_at	6.6	26.2	1.9	1.7	12.5	14.7	0.6	13.2	1.6	1.7	1.1	3.9	13.1	13.7
8334_at	1807.4	2079.4	2635.8	1800.6	1520	1554.8	2511.5	1702.7	3129.3	3386.7	4493.1	1267.6	1785.7	2665.8
8335_at	303.5	330.1	470.7	558.2	450.1	425.8	633.1	577	363.8	315.8	886.7	257.2	525.1	668.3
8336_at	10159.1	8953	6371.7	6668.8	9268.9	7672.7	6720.1	7095.6	8460.6	8824.2	6527.7	4892.9	8066.4	6006.2
8337_at	179.2	87.7	54.2	186	136.7	171.6	140.1	242.4	115.4	139.7	117.4	115.7	201.1	120.7
8338_at	4424.5	3803.5	1375.1	3979.2	4231.7	4421.5	2119.9	4692.1	4804.9	4499.6	2289.6	2122.6	2691.8	1899.9
8339_at	732.8	555.2	308.4	877.1	844.7	718.6	456.2	1057.9	673.2	483	648.2	475.7	573.5	607.1
8340_at	556	404.2	451.2	614.3	585.1	655.5	703.6	602.1	525.2	315.5	551.4	213.6	225.7	488.3
8341_at	466.6	284.9	470.1	644.4	493.1	531.1	607	544.4	672.6	597.5	594.9	511.6	673.7	643.7
8342_at	11825.3	10380.9	7957.7	11828.3	12590.9	11425.2	7372.8	11817.1	9511	10159.7	8472.5	8426.5	11407.1	7744.2
8343_at	3756.6	5120.9	4842.2	4251.7	3664.6	3770.2	2708.9	3289.2	3435	3912.3	2816.8	3988.6	4467.8	4411.9
8344_at	854.8	1134.5	506.4	798.3	1018	867.5	376.5	756.9	977.1	1044.6	396.2	646.4	638	333.8
8345_at	1167.5	2089.8	939.8	1156	1109.1	1167.6	408.1	1039.8	929.6	1478.7	601.7	778	686.7	321.2
8346_at	68.4	96.1	55.5	145.4	224.4	174	157.9	304	82.9	98.1	126.9	155.9	164.9	188.9
8347_at	216.5	85.2	74.9	271.1	207.6	262	281.7	327.5	130.6	101.4	152.5	62.1	138	248.3
8348_i_at	88.4	43.2	115.2	67.3	146.5	163.7	207.2	195.9	53.9	93.1	286	114.4	236.7	232.5
8349_f_at	341.7	239.3	310.9	294.6	394.6	487.2	798.4	423.1	246.1	243.2	487.2	177.8	548.5	452.9
8350_at	248.6	165.2	152.5	356.5	235.6	258.5	293	301.7	126.5	130.2	284.7	443.1	935.3	573.7
8351_at	972.7	1219.5	582.3	1726.4	1164.1	1158.7	1249.9	1611	926.4	979.8	865.3	560.3	787.5	965.3
8352_at	63.1	51.7	48.9	74.6	100.6	98.8	139.7	151.3	97.8	77.9	60.8	39.3	72.5	95
8353_at	1441.2	1554.5	780	1683.7	2067.8	1636.8	1545.6	1850.6	1173	1162.3	1047.3	953.3	996.5	870.2
8354_at	4273.5	3598.2	2802.2	4366.6	4442	4459.6	3739.1	5385	3922.6	3280.6	3037.1	1820.7	1833	2166.5
8355_at	2102.1	1899.1	2520.5	3397.7	2352.6	2151.5	3465.3	2993	2589.6	2223.3	2701.8	2530.3	3456.1	3498.8
8356_at	11	2.8	1.7	25.2	9.5	19	22.9	27.6	18.7	20.3	1.8	16.3	32.3	34
8357_at	196.2	125.6	97.2	203.8	226	188.7	172.4	245	293.8	170.7	149.8	385.9	383.9	177.9
8358_at	1574.4	1571.6	1457.5	1728.4	1625.5	1602.7	1420.3	1983.7	2369.6	2256.9	1605.2	2022.1	2135.8	2119
8359_at	10922.2	11932.6	8826.5	9650.1	13772.5	13314.1	11242.1	13988.9	15814.3	17315	11858.4	14394.2	14897.6	11714.7
8360_at	3079.1	3274.3	2627.9	3014	2936.7	3476	2872.8	3174.1	5417.7	6643.5	4344.4	3564.4	3230.6	3235.9
8361_at	145.6	116	1143.5	199	105.2	106.3	579.5	95.1	235.7	305.4	513.9	252.8	258.1	676.8
8362_at	733.3	654	377.8	774.6	753.9	831.4	497.5	891.7	888	850.6	404.6	718.7	662.5	481.4
8363_at	405.5	484.6	699.3	563.7	326.4	429.2	631.2	483	724.1	616.9	525.3	518.3	502	467.3
8364_at	4650	4661.6	5907.3	4002.1	5189.6	5587.1	6320.7	6512.4	6736.7	5766.7	6275.5	4569.7	4515.3	4705.7
8365_at	306.6	293.9	830.4	453.9	397.4	699.4	960	900.5	328.9	318.5	740.8	444.6	443.1	1051.5
8366_at	967.2	796.3	903.8	1468.4	766.2	918.1	1203.1	1117.4	1012.9	1094.1	902.6	422.1	555.2	778.2
8367_at	215.9	203.2	177.7	371.1	179.6	184.8	225.6	242	191.7	206	160.7	177.1	161	193.8
8368_i_at	2403.5	3102.4	3008.8	6086.8	2203.6	2194.2	6104.8	3744.7	2711.7	5611.1	5488.6	3069.9	3442.8	3609.2
8369_f_at	13099.5	15872.6	14252.8	14353.1	16777.6	13851.3	16849.1	16136.2	18116.5	18680.5	17557.3	16005.6	18956.2	17220.1
8370_at	1093.8	1315.9	1277.7	1473.5	1306.9	1312.8	1466.2	1581	1341.5	1240.9	1478.4	588.5	795.9	970.9
8371_at	216.3	111.3	152.2	210.8	252.8	189.3	361.5	224.1	265.6	129.4	234.8	221.9	181.3	131.8
8372_at	100.5	48.5	54.1	94.2	123.7	109.8	150	151.6	113.5	72.9	85	106.4	105.1	63.5
8373_at	318.4	253.6	416.8	379.4	335.7	389.3	448.4	458.6	292.6	274.5	383	197.2	200.4	298.2
8374_at	406.2	431.1	474.3	511.1	419.3	432.7	364.3	510.9	361.6	375.8	378.1	446.2	375.4	431.8
8375_at	1299.6	1500.9	1808.7	2046.9	1249.5	1196.9	1311.8	2085	804.1	840	1663.4	721.3	478.5	1583.3
8376_at	1355.2	1452.8	960.4	1172.7	1161.8	1101.8	785.9	1106.2	1432.6	1175.9	792.6	987.1	870.9	524.5
8377_at	1588.6	1523.1	2204.8	2384.9	1411.6	1695.5	1680.6	2075.3	2065.9	2197.3	1540.7	766	722.3	1159.8
8378_at	1678	1644.5	2813.1	2346.3	1391.2	1457.6	1623.2	1586.9	1750.6	1829.1	2438.3	2247.7	1703.4	1817.5
8379_at	108.5	113.4	132.2	202.6	155.9	170.4	154.7	265.7	140.3	125.5	175.1	205.7	180.5	186.3
8380_at	77.7	52.9	594.4	63.9	76.3	126.6	499.7	118.2	51.5	51	499.8	55.9	85.4	446.4
8381_at	965.1	1035.2	1009	721.5	744.1	812.3	807	675.3	875.6	846	747.5	542.9	664.6	563.4
8382_at	38.6	38.5	43.4	68.7	49.5	50.2	51	45.8	43.2	44.1	60.7	40.9	38.8	36
8383_at	657.2	561.4	636.7	628.1	722.8	735.7	428.6	577.3	587.8	510.1	729.6	230.2	392.1	358.4
8384_f_at	16050.5	18769.1	20493.1	15528.8	17926	17669.5	20867	16306.2	16550	18344.4	21804.5	18760.5	19670.7	19125.9
8385_at	27	32.3	20.7	4.2	60.1	69.4	28.4	34.9	46.2	20.2	25.8	126	114.7	103.1
8386_at	4227.3	4593.9	7084.4	4932.5	4030.2	5336.8	6702.3	3735	6031.9	7963.5	6300	3725.3	3618	3527.9
8387_at	2301.1	2953.7	2523.4	3092.2	3909.4	3747.5	2978.1	4194	2711.8	3628	1770.7	3002.1	2790.1	1944.5
8388_at	97.7	104.9	78.3	97.4	134.3	123.2	99.7	68.7	150.9	125	105.6	170.2	152.3	226.2
8389_at	5589.9	4928	7219.4	6753	5623.1	6080.3	7670.6	7880.6	7176.2	6744	8259.8	5230.2	4206.4	5908.1
8390_at	246.8	250.7	237	331.5	164.7	231.3	256	312	382.8	385.5	295.5	206.9	212.3	162.7
8391_at	1337	1498.6	613.3	1608.5	1682.7	1686.7	932.1	1875.2	1791.8	1825.9	589.4	1238.1	1190.1	712.4
8392_at	6158.7	7070.7	5449.9	4895.4	5772.6	6228.5	5596.7	5642.6	8893.4	8132.9	4541.2	7158.5	8036.6	4562.1
8393_at	248.9	102.9	131	95.9	198.6	268.7	368	115.9	539.2	134.3	164.6	498.8	512.3	206.4
8394_at	64.4	96.3	186.9	124.2	89.9	84	167.3	124	105.5	78.2	144	57.4	64.4	133.7
8395_at	1105.8	1089.7	968.7	859.4	1180.5	1137.6	802.3	563.1	1233.4	1187.7	705	459.1	529	607.4
8396_at	141.9	131.2	215	195.2	152.9	147.5	135.9	143.7	110.7	127	155.5	103.4	112.7	147.6
8397_at	1458.7	1716	1449.1	1040.4	1142.7	1109.8	1142	608.9	1497.1	1348.3	931.9	1182	1026	993.8
8398_at	2972.9	3930.1	3032.6	2838.7	3395.6	3487.4	2754.8	2705.2	3228.2	3291.4	2467.8	2937.4	2873.4	2516.9
8399_at	152.1	172.1	182.5	234.6	221.3	269.5	129	170.4	113.4	130.5	150.6	135.8	104.4	138.9
8400_at	3438.4	3825.8	3347.7	4165.9	3536.2	3774.3	2725	3505.8	5024.6	4594.3	2085.2	3727.7	3769.5	3305.4
8401_at	276.1	510.6	484	274.4	373.5	526.7	325.8	259.2	314	462.3	329.4	327.7	411.1	235.9
8402_at	1643.5	2313.7	1730.5	2108.8	1766.8	1769.9	985.4	1767	1122.7	1764.7	1210.3	768.6	635.5	549.3
8403_at	109.4	170	129.5	167.8	123.7	151	70.8	120.1	65.2	144.6	108.1	95.1	94.9	71
8404_at	7232.1	7375.7	5509.8	7383.6	5203.4	6508.6	3137.9	6154.6	4650.7	5794.3	3595.9	4506.2	4137.4	3147.8
8405_at	430.1	265.1	218	548.2	338	374.2	478.8	503.3	217.5	251.8	325.7	213.1	343.3	653.7
8406_at	647.4	535.7	349.1	715.3	579.9	539.7	649.3	733.7	345.7	414.3	375.1	276.4	419.8	395.5
8407_at	812.9	633.2	336.7	896.6	791.3	841.4	519.1	879.2	532.5	671.5	492.1	241.9	569.6	477.9
8408_at	667.4	504.4	294	1120.9	629.5	840.2	796.1	913.9	305.6	254.8	617	121.4	200.9	912.8
8409_at	578.4	425.4	153.9	564.7	626.8	574.9	306.5	684.9	352	443.7	314.2	313.6	499.3	443.9
8410_at	2444.4	1228.5	623.4	1181.7	2114.4	1314.3	1322.7	1224.9	2750	1074.3	1085.5	1002.8	1274	793.1
8411_at	1655.1	1124.9	1134.2	2191.9	1324	1488.3	1673.2	1769.3	1239	1127	1150.8	627.6	776.9	830.4
8412_at	2857.8	3800.9	3433	3505.1	2295.3	2313.2	1646	1961	1928.2	2926.6	2739.1	1753.2	1326.7	1438.2
8413_at	23.6	17.3	42.6	49.9	32.3	21.1	29.8	23.6	26.2	42	33.2	23.8	49.7	18.1
8414_at	13519.6	13621.5	16068.4	11600.1	12278.2	13331.6	9674.8	10486.8	11601.8	15323.7	13533.7	16447.1	15420.8	11312.8
8415_at	2734.9	4145.8	2700.6	3000.4	2897.8	3260.1	1721.8	3465.3	2823.1	4051	1852.4	2322.1	1778.7	1543.5
