ID_REF	GSM112931	GSM112935	GSM112942	GSM112943	GSM112945	GSM112946	GSM112947	GSM112948	GSM112949	GSM112950	GSM112952	GSM112962	GSM112963	GSM112964	GSM112965	GSM112967	GSM112968	GSM112970	GSM112971	GSM112972	GSM113345
148366_at	8.107478647	8.808320689	8.148730779	6.083213368	7.349612972	7.948367232	7.967514481	8.273329387	8.069315495	8.382840144	7.842350343	8.518456456	8.498250868	8.311067102	7.491051376	8.062316027	8.09011242	9.075479149	6.589463893	8.040563711	9.073338255
148367_at	8.244601688	8.102763097	8.082149041	8.025139562	8.540709263	8.704595348	8.784634846	8.089053172	8.342074668	7.86727874	8.432959407	9.099610812	9.033423002	8.908692838	8.320574934	9.204571144	9.008988783	8.73470962	8.584962501	8.970393538	9.283088353
148368_at	5.300123725	5.857980995	7.461070114	6.692092375	5.66106548	5.539158811	7.730639956	7.593951284	5.343407822	7.732676223	6.187846909	7.11997861	7.762880293	8.049304033	6.8899602	6.078951341	6.177917792	6.881419908	7.184875343	5.385431037	7.92659251
148369_at	6.806066226	6.663913842	6.378511623	6.981852653	6.217230716	5.545350645	5.752213368	6.850499414	5.354028938	6.454504938	6.520422249	5.539158811	5.909293086	6.686500527	5.649615459	5.482202926	7.217230716	7.047669251	5.857980995	5.770829046	6.503030646
148370_at	6.892391026	7.142617655	6.829088444	7.485426827	7.271463028	7.398316163	7.343407822	7.481395824	7.429615964	7.189824559	7.343407822	6.941341105	6.622051819	7.21042783	6.509379149	7.891176125	7.357552005	7.428778891	6.994353437	7.483009577	7.145677455
148371_at	7.899659026	7.613973587	6.865423978	4.392317423	4.201633861	5.402585758	4.491853096	6.813781191	6.572889668	8.160375687	7.905687849	6.997744026	7.010108453	7.52277767	4.478971805	6.528258743	6.883865155	6.572889668	6.006746832	6.731997787	6.656782364
148372_at	2.786596362	3.307428525	3.857980995	4.292781749	2.459431619	2.847996907	3.292781749	3.459431619	4.129283017	3.722466024	4.944858446	2.744161096	2.867896464	5.14974712	1.925999419	1.5360529	3.070389328	4.655351829	2.584962501	3.070389328	3.87774425
148373_at	3.867896464	3.744161096	1.485426827	2.485426827	4.40599236	3	0.263034406	2.070389328	4.485426827	2.137503524	4.638073837	3.153805336	4.026800059	3.847996907	0.925999419	3.263034406	5.01346226	2.292781749	4.285402219	0.925999419	2.944858446
148374_at	2.350497247	3.485426827	2.722466024	1.807354922	2.981852653	1.887525271	2.232660757	2.655351829	4.977279923	1.925999419	5.125155131	3.765534746	2.632268215	4.314696526	3.419538892	5.392317423	4.906890596	2.944858446	2.560714954	3.350497247	2.263034406
148375_at	5.529820947	7.017921908	6.153805336	5.378511623	2.867896464	2.700439718	5.292781749	5.213347282	3.887525271	6.011227255	5.951867504	5.300123725	5.044394119	4.465974465	6.102238194	3.03562391	6.159871337	6	3.153805336	5.205548911	4.925999419
148376_at	1.722466024	2.070389328	-0.152003093	2.10433666	3.137503524	3.776103988	1	1.925999419	3.277984747	2.925999419	2.722466024	2.432959407	1.263034406	2.10433666	0.925999419	0.678071905	1.137503524	-0.514573173	3.017921908	-0.736965594	0.584962501
148377_at	2.070389328	4.700439718	2.584962501	3.053111336	3.364572432	0.263034406	2.906890596	1.5360529	2.807354922	3.185866545	3.797012978	2.765534746	1.887525271	3.722466024	1.584962501	0.263034406	4.300123725	2.378511623	2.378511623	0.847996907	2.632268215
148378_at	6.646738698	7.866660751	6.277984747	6.560714954	7.070389328	6.614709844	6.300123725	6.723831566	6.829088444	7.585713709	6.854245054	5.830356747	6.390598906	6.923624611	7.030115331	6.617651119	7.220136447	7.30833903	6.888743249	6.610286657	6.981852653
148379_at	5.193771743	5.548436625	5.378511623	5.95419631	5.205548911	5.083213368	1.678071905	3.277984747	3.963474124	3.935459748	3.765534746	5.354028938	4.981852653	4.153805336	2.378511623	6.116863758	6.114783447	6.46760555	5.121015401	4.161887682	5.22881869
