ID_REF	GSM1133109	GSM1133110	GSM1133111	GSM1133112	GSM1133113	GSM1133114	GSM1133115	GSM1133116	GSM1133117	GSM1133118	GSM1133119	GSM1133120	GSM1133121	GSM1133122	GSM1133123
1452126_at	978.3	692.2	647.1	787.2	711.7	747.9	660.9	689.1	919.6	948.9	1219.7	719.2	517.7	673.5	1039.5
1452127_a_at	222.8	198.4	235.4	297	236.6	240.4	305.2	222.6	195.4	214.2	244.1	156.4	242.4	130	213.7
1452128_a_at	2180.5	1451.3	1771.6	1412.1	1413	1564.3	1112.9	1737.1	2348	2354.4	2257.2	1453.5	1348.6	1623.6	1744.7
1452129_at	21.2	18.5	18.4	14.9	17	18.3	3	26.4	45.8	2	4.5	28	2.3	42.1	17.1
1452130_at	1296.7	1206.3	1488.3	1348.1	1163.5	1041.7	1159.8	1295.6	1298.8	1554.4	1222.9	1367.6	1309.9	1123.7	1323.6
1452131_at	104.9	94	89.1	71	61.3	57.8	71.5	88.5	68.2	60.6	85.6	42.1	58.9	81.6	83
1452132_at	233.2	389.9	433.9	256	362.1	229.2	361	276.6	315.1	450.2	186.2	161.2	144.4	223.5	150
1452133_at	15049.3	12274.1	11039.2	10362.8	7654.3	8367.3	12534.3	9581.8	15132.3	13918.4	15515	17693.4	16225.4	17954.3	14169.3
1452134_at	252.1	368.2	262.8	262.5	224	222.1	290.4	261.7	219.4	207.6	253.5	333.5	261.3	270.3	201.6
1452135_at	10.2	19.2	7.5	31	6.7	17.8	10.3	7.2	11.4	9.3	8.3	5.4	4	10.7	47.8
1452136_at	5.6	6.6	7.1	3.4	7.3	17.5	4.3	9	9	6.9	7.1	7	3.2	6.8	3
1452137_at	329.5	343.3	418.7	543.6	213.5	341.2	270	444.9	326.2	271.7	273.4	223.4	268.6	289.3	287.1
1452138_a_at	38.9	24.5	30.4	30.9	17.2	7.2	8.1	36.1	61.2	47.9	13.7	7.2	23.6	41	25.8
1452139_at	628.7	891.3	674.9	916.1	502	472.7	969.7	990.8	593.9	399.5	652.4	923.7	949.1	993.8	767.8
1452140_at	318.3	348.5	318.9	515.1	414.2	483	540.7	578.1	358.8	346.2	404.1	783.5	666.4	713.7	462.3
1452141_a_at	16763.6	10966.3	9638	10065.7	10800.3	14954.3	12718.7	12522.2	11078.4	9781.1	17880.7	18464.8	16766.6	18439.6	18654.3
1452142_at	12.1	28.2	4.7	32.8	3.1	11.2	6.3	30.6	15.2	3.2	0.4	3.2	2.1	2.6	2.6
1452143_at	8318	6145.3	5800.5	6890.7	8549.5	8592.2	7440.9	6443	5899.5	5247.9	6303.8	11447	9029.5	7825.5	9177
1452144_a_at	2281	1579.4	1953.9	1522.7	2106.3	1743	1435.2	1522.2	2638	2842.3	2995.1	2284.8	2125.4	2055.4	2963.3
1452145_at	232.7	333	313	285.7	310.8	209	315.8	304	244.5	214.8	352.8	348.5	377.9	488.6	420
1452146_a_at	478.1	739	737	741.6	938.1	629.9	659	622.8	460.2	528.1	529.6	555.6	519.3	367	551.4
1452147_at	2426.7	3432	2773.2	3086.6	4404.9	4373.2	3735.3	3298.7	1962.3	2031.7	2661.9	3345.6	3416.9	3009.4	2379.3
1452148_at	327.2	510.3	466.4	410.9	386.4	375.5	490.6	358.3	300.7	295	267.1	396.8	413.7	381	265.7
1452149_at	670	915.5	696.7	980.8	1001.7	866.1	1056.2	968.7	621.7	567.5	494.7	986.5	1073.1	1054.6	700.9
1452150_at	574.7	987.1	810.4	772.7	873.3	803	1069.3	911.3	446.7	535.2	466.2	1128	1063.9	873.1	674.4
1452151_at	1457.7	1538.2	1284.4	1408.5	1478.2	1336.4	1803	1329.8	1133.9	1032.5	1754.6	2101.8	2217.2	1635	1860.1
1452152_at	8533	8515.7	8609.2	8815.8	10467.9	6827.7	9163.2	8706.7	7890.5	7884.7	8885.2	8624.2	8028.3	6998.3	9621.9
1452153_at	574.8	628.5	545.2	576.7	602.2	655.2	743.8	768.1	539.8	484	585.9	836.1	744.9	762.6	655.9
1452154_at	1199	1750.3	1664	1524.2	2648.4	1300	1484.7	1390.8	1188.6	1346.4	1282.2	865	1027.4	824.6	1212
1452155_a_at	6057.4	5743.5	5104.3	5726.9	6894.7	8347.1	6272.1	5804	4628.9	4740.5	4763.3	6193.8	5766.2	4735	5924.2
1452156_a_at	3040	2859.5	2785	2581.3	3732	3797.8	3292.9	2923.6	2027.1	2457.4	1431	1702.8	2018.6	1848	1545.6
1452157_at	1581.8	2813.6	2522.4	1690.3	2009.7	1080.5	1785.3	1539.2	2032.2	2000.4	2049.3	1774	1685.6	1209.2	2473.7
1452158_at	1541.2	3096.6	3163.5	3043.3	3296.3	1796.4	3154.9	2309.8	2064.2	2629.9	2810.4	2041	2647.9	2275.4	2415.5
1452159_at	1014.8	1427.8	1134.2	1136.7	1222.9	897.4	1168.8	1039.5	1066.4	1143	1030.8	1088.2	1100.6	1013.7	1015.1
1452160_at	620.4	691.1	629.3	761	543.4	702.1	593.3	635.5	786	549.7	918.8	661.1	623	734.5	974
1452161_at	297.2	239	274.7	496.8	254.9	339.3	237.5	384.6	393.5	345.2	561	412	434.2	461.2	451
1452162_at	788.5	868.3	838.4	959.5	892.6	810.2	840.4	895.7	725	762.4	644.5	690.5	658.5	607	579.3
1452163_at	23248.3	20972.6	15074.2	19825.5	10093.9	16638.8	23489.4	17453.3	17111.7	16364.3	23093.7	25028.1	22351.5	18956.9	24232.6
1452164_at	786	1305.2	1089.1	1158.9	884	973.1	1179.3	1098.1	833.9	724.1	746.7	1331.8	1310.3	1238.9	778.8
1452165_at	1	1.6	3	0.7	2	1.4	0.8	0.7	1.3	0.7	1.9	10	2.1	1.5	1.8
1452166_a_at	352.7	264.7	220.1	172.3	328.1	249	249.4	255.4	245.6	217.4	277.4	322.3	253.3	206.1	248.7
1452167_at	9905.2	6089.8	7130.7	6148.7	6961.7	6547.5	5605.6	6766.7	9001.3	9870.8	9569.7	6527.5	6402.2	6129.1	9753.5
1452168_x_at	3884	4582.6	5283.7	4721.7	4194.5	3275	3988.7	4120.5	3984.2	4341.7	4038.9	3483	3162.9	3190.5	4109.4
1452169_a_at	14880.5	10703.2	8872.8	10515.2	11593.7	12559.8	12860.6	11396.6	10035.1	10635.4	9564.1	14174	14055.7	15531.9	11669.7
1452170_at	276.3	461.9	254.5	430.6	292.7	347.6	518.7	413	170.5	229.6	154	328.9	357.2	391.1	220.8
1452171_at	820.1	1719.1	1587.4	1627.1	1200.1	711.4	1507.7	1530	806.6	938.1	871.8	1660.6	1751.7	2056.9	888.5
1452172_at	716.5	921.8	1074.3	724.4	1012.6	568.5	707.2	597.4	940.7	1323.9	1101.6	585.6	515.5	541.8	921.1
1452173_at	1681.9	2342.9	2175.8	2225.2	1718	1607.6	2197.9	2410.5	1666.9	1568.4	1570.8	2239.5	2122.8	2149	1626.7
1452174_at	699.3	723.4	641.8	748.8	341.6	748	917.5	745.1	593.8	348.8	494.8	1215.9	908.7	656	482.8
1452175_at	603.4	608.6	586.4	692.3	519.1	429.1	578.1	621.2	472	630.3	432.5	413.9	475.1	460.6	405
1452176_at	5738.4	5408	4828.6	5744.6	4459.6	4833.8	5330.9	4489.1	4960.6	4900.7	5654.6	6168.2	5652.8	5035.3	7442.4
1452177_at	260.7	164.8	176.1	156.2	154.5	197.8	132.7	158.3	186.2	196.2	179.6	174.9	165.9	101.2	216.1
1452178_at	716.5	1044.3	792.3	1000.2	742.6	1178.6	1334.6	1149	657.5	618.5	575	1224.7	1153.8	1068.2	674.3
1452179_at	1144.6	1125.4	956.4	1073	976.8	1210.8	979.2	773.8	833.1	944.9	1178.1	622.4	796.2	832.2	1314.4
1452180_at	356.5	276.3	415.9	385.1	546.4	447.4	303.8	274.2	388.4	264.2	485.5	268.4	228.3	271.9	367.9
1452181_at	136.8	85.9	103.1	91.4	89.5	144.2	171.3	188.3	156.4	149.8	102.2	104.2	86.6	87.1	98.6
1452182_at	1063.6	1500.2	996.3	1318.6	1129.4	1295.1	1796.4	1302.6	793.2	715.9	836.4	1856.9	1583.2	1459	1128.9
1452183_a_at	9.9	11.8	4.9	7.9	12.5	97.8	10.9	7.8	26.8	19.9	4.6	16.4	10.3	56.4	7.3
1452184_at	5079.1	7975.9	8415.5	7176.6	7618.6	5900.9	7382.5	7703.2	6250.1	6286.2	4664.5	7741.1	6951.4	8256.3	4485.7
1452185_at	216.6	115	114.9	212.7	99.1	109.8	133.1	188.5	173.4	271.3	119.7	94.1	137.3	161.6	159.9
1452186_at	5383.5	4797.7	4004.4	5013.1	4947.2	4786.2	5371.9	4645.6	4517.7	3848.2	5029.5	5182.9	5371	5088.5	6198.6
1452187_at	1116	775.4	700.7	1069.6	945.7	655.7	880.9	951.8	872.2	768	894.2	867	804.3	943.4	906.1
1452188_at	405.3	335.8	302.1	324.8	293.5	414.8	445	418.8	327.3	287.3	342.4	544.6	474.4	505.2	511.6
1452189_at	3357.5	2712.1	2062.3	2230.8	2799.8	3205.2	2164.4	2901.4	3559	2603.9	4729.5	5489	5346.8	4282.5	6275.5
1452190_at	346.3	510.7	539	446.3	445.6	488.7	833.9	528.9	1029.7	900.2	756.6	652.3	738.9	832.6	994.7
1452191_at	326	480.7	535.7	480.6	417.3	405.3	856.7	652	757	841.7	696.3	468.2	533	610.2	569
1452192_at	1001	1607.8	1592.4	1324.4	2278.2	1220.6	1280.4	1310.7	1292.3	1548.7	1528.6	1060.6	1420.5	935.7	1948.3
1452193_a_at	1986.7	952	1108.2	1144.5	1334.4	1214.8	1001	1214.6	2036.1	1636.7	2279.7	947.2	889.9	365.3	1778.3
1452194_at	986.9	1771.1	1601.7	1543.8	1776.6	1344.5	1741.2	1767.9	1275.6	1279	1127.8	1742.5	1583.7	1475.2	1438.6
1452195_s_at	264.1	281.2	174.9	253.2	317.2	365.9	543.8	292.9	158.7	164	90.7	186.2	164.1	58.2	74.4
1452196_a_at	670.3	874.2	1012.5	699.8	1674.7	744	583.8	746.9	1071.2	1345	757.3	303	453.9	488.4	853.1
1452197_at	13220.4	9896.1	8197.8	8632.7	12340.9	9964.4	10263	9936.1	12794.2	11086	15618.8	11608.4	10986.4	11697.6	17103
1452198_at	1286	1972.5	1733.3	1747.7	2529.8	1534.7	1804.6	1634	1687.9	1509.3	1479.9	1704.2	1693.5	1440.5	1747.6
1452199_at	635.9	642.1	641.1	627.7	739.7	792	633.7	626.6	607.2	616.2	729.1	656	595.7	602.3	750.5
1452200_at	1211.8	1746.5	1741.2	1670.1	1636.7	1730.2	1878.6	1619.1	1259.2	1194.9	1466.7	2349.4	2440.8	2446.1	1924.7
1452201_at	188.7	306.5	283	313.4	165.3	212.1	290.8	278.5	143.1	145	178.1	445.9	405.2	424.8	203.9
1452202_at	241	570.8	323.9	488.4	288.3	503.4	677.5	571	241.5	139.7	321.9	1210.5	990.7	920.7	438.6
1452203_at	2077.9	1131.5	987.5	1291.9	1135.6	1662.1	1186.8	1566.8	1822.7	1421.1	2200.3	2043.9	1785.6	1536	2652.5
1452204_at	281.5	413.6	316.7	414.2	376.3	436.7	458.9	390.6	286.5	315.4	213.4	392.7	447.5	558.1	257.9
1452205_x_at	30784	20826.9	19466.7	19579.9	17170.1	26179.3	28679.6	27777.1	23274.3	20733.8	27164	29876.9	29216.1	37317.2	25168.8
1452206_at	3421.3	3521.4	3724.9	3202.8	3428.6	2641.9	3062.9	3298.8	3321.4	3754.3	3789.1	3199.3	3152.2	2969.7	3824
1452207_at	2689	2035.8	1818.7	2208.5	2343.6	2915.8	2030.5	2436.4	2479.2	2046.2	2492.9	2466.8	2253.6	1966.7	2441.5
1452208_at	656.8	620	721.4	627.9	1034.2	715.3	602.3	667.5	738.5	615.4	608.4	707.8	669	531.5	734.9
1452209_at	752	564.5	603.7	634.5	759.3	737.9	651.6	616.1	583.6	563.4	509.2	753.6	647.9	543.6	747.1
1452210_at	938.7	2072.6	2091.4	1643.4	2647.8	1131.1	1358.2	1322.4	1865.4	2035.3	1272.6	486.6	847.7	776.7	1095.8
1452211_at	1962.7	2179.5	2288.2	2020.4	2444.3	1920.1	1986.1	1814.5	1939.5	1949.8	2025.5	1719.1	1559.7	1285.1	2307.3
1452212_at	16.4	37.2	23	38.6	17.6	54	45.1	26.7	9.9	36.8	8	8.9	5	78.2	10.3
1452213_at	962	1091.9	862.4	952	1220	1100.6	1015.6	978.1	950.7	865.6	928.6	892.3	982.4	730.2	1222.7
1452214_at	4929.1	1950.9	1910.3	2371.3	2212.5	3271	2025.1	2401.6	3920.2	3234	4565.7	2418.1	2423.5	2259.5	5007.4
1452215_at	657	970.9	1077.4	864.9	967.9	800.2	932.9	952.2	720.1	670	765.3	1148.3	1197.7	1172.9	781.3
1452216_at	180.5	608.4	467.9	468.4	389.8	400.1	531.5	451.8	222.5	328	265.1	720.5	562.4	616.7	400.8
1452217_at	2894.6	2051.6	2003.8	2459.4	3031.1	3080.2	2503.4	2330.5	2907	2136.2	2228.1	1960.7	2017.1	1789.8	2498.8
1452218_at	826.1	522.8	709.3	868.8	450.7	827.1	425.7	683.5	466.4	376.1	535.5	407.7	567.8	437.7	621.4
1452219_at	290.4	83.7	193.9	139	199.6	230.8	262.4	163.4	208.8	185.1	257.5	194.1	39.3	174.6	159.4
1452220_at	82.7	71.4	110.1	91.2	114.7	94.8	67.5	148.3	105.5	88.5	55.4	30.3	53.1	42	42.8
1452221_a_at	1251.5	1911	1739.8	1757.9	1530.1	1517.8	1689.3	1664.9	1055	1116.7	824.2	1715.9	1385.6	1490	871.9
1452222_at	3666.2	2072.8	1851.8	2219.5	2485.6	3403.2	2559.4	2441.2	2349.6	1910.4	3082.2	2831.9	3021.2	2515.8	4564.9
1452223_s_at	537.9	405.1	255.6	343.8	281.5	456.5	391	368.6	395.4	324.5	608.7	421.5	522.4	415.5	804.5
1452224_at	1804.7	1413.5	1319.6	1812.8	2026.4	1895.1	1475.3	1540	1772.8	1661.6	1998.2	1653.1	1732.9	1807.7	2394.8
1452225_at	3077.9	1947.1	2085.7	2195.1	1804.1	2050.9	1692.6	1915.1	3058	3197.9	3111.7	1537.7	1610.5	1292.6	2912.9
1452226_at	1382.8	2925.8	2863.6	2880.3	2227.4	1118.7	2197.2	2301.8	1701	2125.8	1220.1	2204.7	2597.6	2747.1	1461.4
1452227_at	24.9	10	22.8	12.4	24.9	6.8	18.5	39.4	16.4	30.4	42.5	8.7	7.7	29.1	20.4
1452228_at	384.6	224.7	272.7	322.2	292.3	348.3	249.7	311.6	341.5	348.1	229.7	100	105.3	203.1	163.6
1452229_at	54.3	52.7	48.5	40.9	47.5	72.4	33.5	68	111	61.9	81.5	82.6	48	43.6	23.3
