ID_REF	GSM1133080	GSM1133081	GSM1133082	GSM1133083	GSM1133084	GSM1133085	GSM1133086	GSM1133087	GSM1133088	GSM1133089	GSM1133090	GSM1133091	GSM1133092	GSM1133093
1438328_at	237.4	273.4	202.7	269.1	242.9	152.6	218.6	129.6	205.7	264.9	288.5	370.7	286.4	335.4
1438329_at	4	2.6	32.6	13	9.6	4.4	4.7	8.5	2.9	16.2	9.8	3.4	50.1	18.1
1438330_at	113.7	76.4	74.9	101.8	135.7	100.1	83.9	65.3	101.8	87.2	109.3	138.6	60.9	102.9
1438331_at	120.7	77.2	109.4	124.8	23.8	86.4	143.2	73.7	87.3	98.2	88.8	72.8	86	93.6
1438332_at	15.6	33.6	37.3	36.2	6.9	36	1.9	15.1	21.1	12.3	19.6	21.1	35.7	33.6
1438333_at	1.6	1	8.3	1.9	0.8	21.9	1.3	1	1.2	3.7	2.1	2.3	0.6	2.9
1438334_at	236.7	248.7	506	510.1	355.4	382.6	413.1	204.7	457	356.8	317.6	465.8	256.4	464.7
1438335_at	97.4	94.8	107.2	96.1	73.1	87.4	160.1	44.5	22.6	194.5	139.7	50.5	92.1	55.8
1438336_at	280.3	233.6	98.8	217.6	40.8	149.8	183.9	167.4	185.8	138.6	102	128.5	77.6	163.4
1438337_x_at	12.4	23.3	15.7	11.2	2.7	0.4	1.8	3.3	4.3	2	16.7	2.7	1.5	2
1438338_at	146.6	154.8	51.5	70.2	244.8	227.3	306	252.5	362.5	222	218	268.1	120.9	117.5
1438339_at	237.8	193	212.6	183.7	293.6	315	245.6	230.6	259.5	220.2	246.1	203	199	212.1
1438340_at	61.2	99.5	93.1	76.5	102.5	104.9	14.3	30.7	106.1	67.4	89.8	68.7	77.7	16.1
1438341_at	34.1	42.3	20.6	12.1	36.2	8.7	6.3	62.9	67.4	5.6	50.5	36.8	21.7	98.9
1438342_at	72.3	88.2	38.8	36.4	6.4	50.5	43.5	56.3	27.3	5.8	28.8	73.4	36.5	68.5
1438343_at	45.6	34.9	33.8	13.4	55.1	47.1	16.3	53.7	47.5	25.9	28.9	33.9	36.7	11.4
1438344_at	11.5	2.7	3.4	7	4.2	1	4.6	4.7	17.3	3.4	6.6	21.3	28.9	13.7
1438345_at	158.5	205.4	132.5	287.7	82.5	216.4	194.1	168.5	225.2	121	172.8	222.9	132.9	116.1
1438346_at	2.8	31.9	20.8	3.5	1.4	20.2	3	12.8	7.3	1.7	15.7	25.5	23.9	1
1438347_at	7.4	36.1	6	6.2	3.7	47.4	4.4	4.6	3.3	12.4	6.7	1.6	5.7	72.2
1438348_x_at	81.1	64.1	77.7	52	88.5	55.4	45.5	58.9	11.9	45.5	53.9	39	38.7	66.6
1438349_at	124.8	164.1	112.7	137.7	135.6	142.8	123.2	146.5	113.4	121.1	105.2	88.1	128.2	89.4
1438350_at	2.9	1.8	1.2	3.9	33.8	2.3	2	2.3	4.1	5	0.6	1.6	20.3	2.7
1438351_at	47.2	14.8	2.1	2.4	1.4	21.3	9.7	13.8	5.3	9.1	23.6	25.8	11.6	0.9
1438352_at	334.5	329.9	465.9	424.1	252.2	514.4	491.2	657.3	398.9	255.8	336.9	374.4	280.7	169.1
1438353_at	1016.4	637.7	137.3	173	785.8	280.4	342.6	147.2	668.8	467.8	256.4	666.6	183.3	390.4
1438354_x_at	201.8	126.6	185.5	199.7	192.5	141.7	182.2	231.9	198.3	148.1	126.3	88	124.8	167.6
1438355_at	35.3	3.4	2.8	7.9	3.8	1.8	3.7	5.4	26	27.7	3.6	14.5	5.5	2.8
1438356_x_at	5.7	4.8	2	4.1	10.3	8.9	2	2.1	4.2	4.6	2.1	5.5	1.9	2.9
1438357_at	15	1.8	1.3	1.1	1.5	2.7	22.3	1.1	3	3.4	12	1.3	0.8	7.1
1438358_x_at	19.7	7.3	11.1	15.1	21.1	12.1	8.5	10.6	17.2	12.2	0.9	11.6	15.1	1
1438359_at	5.1	4.7	3.4	2.8	7.8	4.9	5.4	68.9	30.1	9.7	2.5	13.6	22.8	2.6
1438360_x_at	4532.6	4286.7	3700.7	3555	3071.8	3476.5	5039.6	3670.9	3550.3	4177.6	3937.1	3760.1	3881	2944.8
1438361_at	29.4	63	44.7	57.6	126.4	99.2	94.1	49.3	83.3	77.9	59.3	40	31.2	31.7
1438362_x_at	62	70.9	96.5	43.8	87.4	93.9	69.4	28.8	46.9	120.6	58.5	73	21.2	46.6
1438363_at	44	20	32.7	35.3	41.5	20.4	7	65.4	8.1	7.1	33.1	30.9	32.8	40
1438364_x_at	4.6	45.5	14.8	27.3	23.5	5.6	37.9	5.4	2.3	3.5	4.5	2	4.4	7.6
1438365_x_at	1741.8	1742.1	858.9	885.8	1269.2	775	938.4	1767.5	1538	503.4	395	724.3	430.2	634.7
1438366_x_at	2875.1	3036.3	2762.5	3226.8	2252.3	2504.1	3210.9	2763	3048.6	2516.4	2742	2532.6	3211	2523.6
1438367_x_at	5.7	49	29.8	112.6	65	68.5	55.6	13.9	16.1	57.9	53	62.6	61.7	20.3
1438368_a_at	11763.1	11465.8	9940.2	11462.3	12068.7	8741.9	12363.9	11059.1	10280.2	12002.1	10993.4	13735.4	11442.8	13389.4
1438369_x_at	1358.4	1018.3	577.2	662.4	1197.3	570.3	999.7	1217.9	873.3	561.2	560.4	1037.4	670.9	937.4
1438370_x_at	248.6	146.2	285.4	386	200.7	262.8	376.8	165.3	210.1	290.8	383.2	171.5	281.9	168.5
1438371_x_at	22872	21305.9	14507.3	21757.5	14506.5	23401.9	20809.9	11580.9	13179.5	16159.2	17271.6	20598.1	17803.7	16824.6
1438372_at	11.4	23.4	14	0.7	2.7	4.2	38.3	9.7	8.4	3.4	4.4	4.3	7.3	8.5
1438373_at	16.9	26.2	3.4	16.6	19.1	13	1.8	33	2.8	1.7	17.6	0.9	15.4	4.4
1438374_x_at	37.1	26.7	5.2	16.1	2.8	3.6	24.9	14.8	6.2	4.5	1.6	31.4	18.8	27.2
1438375_at	5.1	2.4	2.7	0.6	16.1	7.6	1.5	22.5	6.2	0.4	3.7	2	0.7	5.5
1438376_s_at	5728.3	5359.6	5344.9	5656.7	5275.5	6086.1	5990.9	5831.6	4905.7	5502.4	4967.9	5235.4	5460.5	5456.8
1438377_x_at	55	33.6	54.5	40.7	60.5	66.3	51	56.1	42.7	82.5	6.2	36.7	44.7	9.7
1438378_at	2	0.9	0.7	3.1	8.5	47.2	50	54	51	44.8	42.9	12.4	32.2	33.2
1438379_x_at	32.1	56.8	43.7	34.2	91.6	26.7	78.1	38.8	25.9	35.9	34.8	97	55.4	46.9
1438380_at	23.1	36.6	22.9	6.9	21.9	2.6	11.1	51.7	1.1	2.5	6.9	10.5	1	10.4
